,Close,MA10,EMA12,EMA26,MACD,UB,LB,ATR,RSI,pivot,s1,r1,s2,r2,s3,r3,CCI,mom,^GDAXI,^GSPC,^IXIC,usd_interest,usd_inflation,eur_interest,eur_inflation
2019-02-22,1.1343011856079102,1.1314062237739564,1.133756379160764,1.136564537432805,-0.0028081582720409,1.1500197436745143,1.123604473835709,0.0059009790420531,50.78643444759608,1.1339174509048462,1.132258415222168,1.1359602212905884,1.1302156448364258,1.1376192569732666,1.1285566091537476,1.1396620273590088,0.1952680744472452,0.0044981241226198,11457.7001953125,2792.669921875,7527.5400390625,2.4,1.07527,0.25,1.4
2019-02-25,1.1342240571975708,1.1315860390663146,1.1338283296279652,1.1363911685264914,-0.0025628388985261,1.1495376007017912,1.1233785255494293,0.0057404467037745,53.51094435185789,1.1349249680836997,1.1330987612406411,1.136050264040629,1.1319734652837117,1.1378764708836873,1.1301472584406531,1.1390017668406167,4.092313495077292,0.0030279159545898,11505.3896484375,2796.110107421875,7554.4599609375,2.4,1.07527,0.25,1.4
2019-02-26,1.1367511749267578,1.132470726966858,1.1342779981354716,1.136417835667252,-0.0021398375317802,1.148860494341314,1.1234306652885078,0.0055655241012573,68.73280392562714,1.136421163876851,1.1349788109461465,1.1381935278574624,1.1332064469655354,1.1396358807881672,1.1317640940348306,1.1414082447687783,0.6775852383947745,0.0024499893188476,11540.7900390625,2793.89990234375,7549.2998046875,2.4,1.07527,0.25,1.4
2019-02-27,1.139315485954285,1.1330557227134703,1.1350529962614428,1.1366324764292544,-0.0015794801678115,1.1482672482264913,1.1236017913090313,0.0052515523774283,64.1876225114637,1.138695240020752,1.137009620666504,1.1410011053085327,1.1347037553787231,1.1426867246627808,1.133018136024475,1.1449925899505615,3.2889463480712595,0.0046796798706056,11487.330078125,2792.3798828125,7554.509765625,2.4,1.07527,0.25,1.4
2019-02-28,1.1380189657211304,1.1342082142829897,1.135509299255241,1.1367351793397638,-0.0012258800845228,1.1462202340781376,1.1245741933167297,0.0053737589291163,88.56691506167209,1.138767679532369,1.1353309551874795,1.141455690066019,1.132642944653829,1.1448924144109087,1.1292062203089397,1.1475804249445591,2.8254734234205268,0.0037177801132202,11515.6396484375,2784.489990234375,7532.52978515625,2.4,1.07527,0.25,1.4
2019-03-01,1.1373459100723269,1.1349892973899842,1.135791854765562,1.1367804186532868,-0.0009885638877249,1.1449222085095585,1.1251117351435482,0.005296732698168,81.06073534710009,1.1378895839055378,1.1348909536997478,1.1403445402781167,1.132435997327169,1.1433431704839068,1.1294373671213789,1.1457981268564856,1.479929740305606,0.003121852874756,11601.6796875,2803.68994140625,7595.35009765625,2.4,1.07527,0.25,1.4
2019-03-04,1.1375917196273804,1.1357681632041932,1.1360687570519956,1.1368405150217382,-0.0007717579697426,1.1433142899610151,1.125926041688765,0.0052918025425501,81.02727756249558,1.135391354560852,1.1332557201385498,1.1397273540496824,1.1289197206497197,1.1418629884719846,1.1267840862274172,1.146198987960815,-6.433394261328176,0.0008405447006225,11592.66015625,2792.81005859375,7577.56982421875,2.4,1.07527,0.25,1.4
2019-03-05,1.133735418319702,1.1360220909118652,1.135709781862412,1.1366105078586244,-0.0009007259962123,1.141717533259657,1.1265335043379994,0.0054166487285068,58.45606624798447,1.1323230266571045,1.1307306289672852,1.1353278160095217,1.1277258396148682,1.1369202136993408,1.1261334419250488,1.1399250030517578,-8.261834468665862,-0.0055800676345829,11620.740234375,2789.64990234375,7576.35986328125,2.4,1.07527,0.25,1.4
2019-03-06,1.1307101249694824,1.1356629848480224,1.1349406038788843,1.1361734424594288,-0.0012328385805444,1.1406152556329636,1.1266075422376725,0.0051428335053579,37.977522708769015,1.1307926972707112,1.1290826002756753,1.132420221964518,1.1274550755818684,1.134130318959554,1.1257449785868323,1.1357578436533609,-11.38218560248285,-0.0073088407516479,11587.6298828125,2771.449951171875,7505.919921875,2.4,1.07527,0.25,1.4
2019-03-07,1.1314009428024292,1.1353394985198977,1.134396040636353,1.1358199239663178,-0.0014238833299651,1.140274294870566,1.1264289889162078,0.0054852196148463,39.422312309971154,1.1280887126922607,1.124187469482422,1.135302186012268,1.1169739961624146,1.139203429222107,1.1130727529525757,1.1464169025421145,-11.806026802585013,-0.0059449672698976,11517.7998046875,2748.929931640625,7421.4599609375,2.4,1.07527,0.25,1.4
2019-03-08,1.1198333501815796,1.1338927149772644,1.1321556267202335,1.1346357333155963,-0.0024801065953627,1.1418288780764576,1.1234700606747632,0.0061184423310415,22.72684371615152,1.1209645668665569,1.1174745162328086,1.123323400815328,1.1151156822840371,1.1268134514490764,1.111625631650289,1.1291722853978476,-10.08764017213806,-0.0177583694458007,11457.83984375,2743.070068359375,7408.14013671875,2.4,1.07527,0.25,1.4
2019-03-11,1.1232421398162842,1.1327945232391357,1.130784321042703,1.1337917634267587,-0.0030074423840555,1.1422895059907645,1.1220910563146858,0.0060775705746241,31.608284387515116,1.1237489382425945,1.1217521031697593,1.1252389748891198,1.120262066523234,1.127235809961955,1.1182652314503987,1.1287258466084804,-7.980300428623146,-0.0104932785034177,11543.48046875,2783.300048828125,7558.06005859375,2.4,1.07527,0.25,1.4
2019-03-12,1.1259232759475708,1.131711733341217,1.1300364679511443,1.1332089125023743,-0.00317244455123,1.1424040488395877,1.1217784114684877,0.0061082243919371,31.959291170617192,1.126793424288432,1.1241538127263389,1.128562887509664,1.122384349505107,1.131202499071757,1.1197447379430137,1.1329719622929892,-6.096701313986267,-0.0047868490219116,11524.169921875,2791.52001953125,7591.02978515625,2.4,1.00202,0.25,1.4
2019-03-13,1.1287446022033691,1.1306546449661254,1.1298377193745637,1.1328782228505965,-0.0030405034760325,1.142251331449922,1.1214590362296737,0.0061888013567242,32.53707241182329,1.1293414036432905,1.1273074944814048,1.1307785113652549,1.1258703867594402,1.1328124205271404,1.123836477597555,1.134249528249105,-3.32111229120449,-0.00265634059906,11572.41015625,2810.919921875,7643.41015625,2.4,1.00202,0.25,1.4
2019-03-14,1.133105993270874,1.1301633477211,1.1303405307432268,1.13289509473358,-0.002554563990353,1.1422802436129451,1.122091318391144,0.0062707747731889,42.63013894601303,1.1320571104685466,1.1305201848347983,1.1346429189046223,1.1279343763987224,1.1361798445383708,1.126397450764974,1.1387656529744468,-1.7208106096125355,0.0132726430892944,11587.4697265625,2808.47998046875,7630.91015625,2.4,1.00202,0.25,1.4
