,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
175,50,16,0.1,16,32,sigmoid,sigmoid,8.604870781288688e-07,0.0009276244273028115,0.0008156803554924758
930,100,16,0.1,32,32,sigmoid,relu,1.0580680375601176e-06,0.0010286243422941719,0.0008109373653121496
1157,100,32,0.1,16,64,sigmoid,tanh,1.217706301874442e-06,0.001103497304878649,0.0009130317108568385
166,50,16,0.1,16,16,sigmoid,sigmoid,1.235271018864811e-06,0.0011114274690076772,0.0009445432898158289
856,100,16,0.01,32,64,relu,sigmoid,1.315801059371467e-06,0.0011470837194256865,0.0009360832561392578
900,100,16,0.1,16,32,relu,relu,1.4863189280774098e-06,0.0012191468033331382,0.0008839902862728158
44,50,16,0.001,32,32,tanh,tanh,1.4945682134773796e-06,0.0012225253426728542,0.0009579973570229984
1072,100,32,0.01,16,64,relu,sigmoid,1.6732280114387163e-06,0.0012935331504985545,0.0010025660239037528
1427,100,64,0.1,32,64,sigmoid,tanh,1.6758921558587863e-06,0.0012945625345493303,0.001073573673118869
201,50,16,0.1,32,32,sigmoid,relu,1.7358740588775489e-06,0.001317525733668056,0.0010526101943480301
1138,100,32,0.1,16,16,sigmoid,sigmoid,1.7780520959948628e-06,0.001333436198696759,0.0010847489768673552
118,50,16,0.01,32,32,relu,sigmoid,1.8130451048295063e-06,0.001346493633415883,0.0011477488579025284
754,100,16,0.001,16,64,tanh,sigmoid,1.8398591306881774e-06,0.0013564140705139332,0.0010564616943725825
418,50,32,0.1,16,32,sigmoid,sigmoid,1.8470867123038982e-06,0.0013590756830669506,0.0011161012898999276
1443,100,64,0.1,64,32,sigmoid,relu,1.8489229051388556e-06,0.0013597510452795598,0.0010391109323981491
1073,100,32,0.01,16,64,relu,tanh,1.8721496494820982e-06,0.0013682651970587055,0.0011415956645210229
1023,100,32,0.001,32,64,tanh,relu,1.8955531560572616e-06,0.0013767908904613153,0.0010754137034799515
1052,100,32,0.001,64,64,tanh,tanh,1.9010517985225888e-06,0.0013787863498463382,0.0011385003017470514
17,50,16,0.001,16,32,tanh,tanh,1.979198310219571e-06,0.0014068398310467225,0.0011799902611141259
893,100,16,0.1,16,16,relu,tanh,2.0258037145551965e-06,0.001423307315570041,0.001184437273439879
575,50,64,0.01,16,16,tanh,tanh,2.0308368142519512e-06,0.0014250743188521612,0.0011456661985674902
1165,100,32,0.1,32,16,sigmoid,sigmoid,2.0926128730220026e-06,0.001446586628246647,0.0011411349268173623
1063,100,32,0.01,16,32,relu,sigmoid,2.095403520016756e-06,0.0014475508695782529,0.001092633247448938
1081,100,32,0.01,32,16,relu,sigmoid,2.1041805584647844e-06,0.0014505793871638962,0.0012383817241588089
837,100,16,0.01,32,16,relu,relu,2.1165452316098644e-06,0.0014548351217955472,0.0011646519519261849
1071,100,32,0.01,16,64,relu,relu,2.1581131571145865e-06,0.0014690517884385786,0.001188130982222494
92,50,16,0.01,16,32,relu,tanh,2.2527494432009526e-06,0.0015009162012587353,0.00114713165906451
1334,100,64,0.01,32,32,relu,tanh,2.2558719957838558e-06,0.0015019560565422197,0.001260855164200313
154,50,16,0.01,64,64,relu,sigmoid,2.31769702068916e-06,0.0015223984434730483,0.0013296645503814394
126,50,16,0.01,32,64,relu,relu,2.3329252935852298e-06,0.0015273916634528388,0.0012389649474224926
1381,100,64,0.1,16,16,sigmoid,sigmoid,2.351804104646326e-06,0.0015335592928368718,0.0012106735300280217
1340,100,64,0.01,32,32,tanh,tanh,2.356928644688714e-06,0.0015352291831152488,0.0013514129661238053
211,50,16,0.1,32,64,sigmoid,sigmoid,2.3646913722159917e-06,0.0015377553031012416,0.0011719637846817573
1080,100,32,0.01,32,16,relu,relu,2.3679780771073233e-06,0.0015388236016864712,0.0012294805574078786
1297,100,64,0.01,16,16,relu,sigmoid,2.384851879907414e-06,0.0015442965647528373,0.0012709652830907134
1416,100,64,0.1,32,32,sigmoid,relu,2.406877149671209e-06,0.001551411341221666,0.0012174916037131524
1147,100,32,0.1,16,32,sigmoid,sigmoid,2.4205480586809658e-06,0.00155581106136991,0.0011666933779258778
446,50,32,0.1,32,32,sigmoid,tanh,2.446270635691213e-06,0.0015640558288281185,0.0013231951383776322
1034,100,32,0.001,64,16,tanh,tanh,2.486051970137244e-06,0.001576721906404945,0.0013300420696144735
1032,100,32,0.001,64,16,tanh,relu,2.4872361177717615e-06,0.001577097371049664,0.0014160264989909889
1016,100,32,0.001,32,32,tanh,tanh,2.50489913813126e-06,0.0015826873153378276,0.0013102470614476283
278,50,32,0.001,32,16,tanh,tanh,2.5300280315501124e-06,0.0015906061836765606,0.0012693513710203214
855,100,16,0.01,32,64,relu,relu,2.530286254214621e-06,0.001590687352754972,0.001293899431920506
670,50,64,0.1,16,64,sigmoid,sigmoid,2.532018283181755e-06,0.0015912316874615573,0.0014240605801689539
1307,100,64,0.01,16,32,relu,tanh,2.5344027824178028e-06,0.0015919807732563238,0.0012516626460559854
1173,100,32,0.1,32,32,sigmoid,relu,2.544815840466284e-06,0.0015952478931082416,0.0012635069650077755
578,50,64,0.01,16,32,relu,tanh,2.5539636266043246e-06,0.0015981125200073755,0.0014093793730467776
348,50,32,0.01,16,64,tanh,relu,2.5632269639553845e-06,0.001601008108647606,0.0013086364746461756
652,50,64,0.1,16,16,sigmoid,sigmoid,2.59213896992507e-06,0.0016100121024157149,0.0014325746856106774
886,100,16,0.01,64,64,sigmoid,sigmoid,2.595844492608971e-06,0.0016111624662364038,0.0013604626422789687
734,100,16,0.001,16,16,sigmoid,tanh,2.6083056804184397e-06,0.001615024978264559,0.001352317034470947
117,50,16,0.01,32,32,relu,relu,2.6296927643429514e-06,0.001621632746445061,0.0013207766557910392
775,100,16,0.001,32,64,relu,sigmoid,2.642126540172828e-06,0.0016254619467009456,0.0014362060817441262
784,100,16,0.001,64,16,relu,sigmoid,2.649009202618938e-06,0.0016275777101628474,0.0014045624751489497
1102,100,32,0.01,32,64,sigmoid,sigmoid,2.6520769205008287e-06,0.0016285198557281482,0.0014112796341494234
352,50,32,0.01,32,16,relu,sigmoid,2.66348910574917e-06,0.001632019946492435,0.0014314511495108978
99,50,16,0.01,16,64,relu,relu,2.6744542984787316e-06,0.001635375889047754,0.0014110288510376004
1005,100,32,0.001,32,16,tanh,relu,2.680734316822557e-06,0.0016372948167091218,0.0014464253851186567
1331,100,64,0.01,32,16,tanh,tanh,2.6818848891904607e-06,0.001637646142849688,0.001434994440474105
1343,100,64,0.01,32,64,relu,tanh,2.6832045799964447e-06,0.0016380490163595363,0.0014317003133612906
79,50,16,0.001,64,64,tanh,sigmoid,2.692800787777302e-06,0.0016409755597745208,0.0013963081165876171
174,50,16,0.1,16,32,sigmoid,relu,2.6954795373340843e-06,0.001641791563303358,0.0012705863180885904
1026,100,32,0.001,64,16,relu,relu,2.7168667546226434e-06,0.0016482920720013925,0.0013461614700280458
53,50,16,0.001,32,64,tanh,tanh,2.7247015883213984e-06,0.0016506670131560147,0.0013320767583300543
714,50,64,0.1,64,32,sigmoid,relu,2.72821792788981e-06,0.0016517317965970776,0.001392816063682081
846,100,16,0.01,32,32,relu,relu,2.7519388524921085e-06,0.0016588968781971075,0.0013513151453850884
591,50,64,0.01,16,64,tanh,relu,2.761927665325347e-06,0.0016619048304055643,0.0013923647523930644
811,100,16,0.01,16,16,relu,sigmoid,2.770059685351032e-06,0.001664349628338659,0.0013895129728007274
343,50,32,0.01,16,64,relu,sigmoid,2.816547862436486e-06,0.0016782573886137031,0.0014880741766814267
715,50,64,0.1,64,32,sigmoid,sigmoid,2.818230559798967e-06,0.001678758636552309,0.0014529002332143593
1356,100,64,0.01,64,16,tanh,relu,2.8230630322083107e-06,0.0016801973194265937,0.0014241834127135147
678,50,64,0.1,32,16,sigmoid,relu,2.8266796780166e-06,0.001681273231219899,0.0012983332443742039
738,100,16,0.001,16,32,relu,relu,2.827305755744224e-06,0.0016814594124581847,0.0014463563641007894
1014,100,32,0.001,32,32,tanh,relu,2.902517506747026e-06,0.0017036776416760964,0.0014415477360023674
