,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
184,50,16,0.1,16,64,sigmoid,sigmoid,1.3223960213172504e-06,0.0011499547909884329,0.0009287471633778357
361,50,32,0.01,32,32,relu,sigmoid,1.8902107454392506e-06,0.0013748493537254366,0.0011558274976848069
436,50,32,0.1,32,16,sigmoid,sigmoid,2.0187646033253217e-06,0.001420832362851199,0.001194197602949032
419,50,32,0.1,16,32,sigmoid,tanh,2.108133942308435e-06,0.0014519414390079357,0.0011458058020338618
1072,100,32,0.01,16,64,relu,sigmoid,2.1917887586827e-06,0.0014804691008875194,0.001176410825922883
1384,100,64,0.1,16,16,tanh,sigmoid,2.2615065571382708e-06,0.0015038306278096184,0.00128394826088732
1313,100,64,0.01,16,32,tanh,tanh,2.404007838341244e-06,0.001550486323171296,0.0013215556651091352
736,100,16,0.001,16,16,tanh,sigmoid,2.4207821461213764e-06,0.0015558862895858991,0.0013121656549027604
586,50,64,0.01,16,64,relu,sigmoid,2.5205807238758152e-06,0.001587633686930274,0.001384657964428867
1204,100,32,0.1,64,32,tanh,sigmoid,2.5366850666343485e-06,0.001592697418417682,0.001326675075737925
763,100,16,0.001,32,16,tanh,sigmoid,2.662916163055012e-06,0.0016318444052834853,0.0013960353867005179
757,100,16,0.001,32,16,relu,sigmoid,2.6908783292379375e-06,0.001640389688225922,0.0014235798619360138
784,100,16,0.001,64,16,relu,sigmoid,2.7051994305734233e-06,0.0016447490479016618,0.0013357343807153979
1321,100,64,0.01,16,64,tanh,sigmoid,2.7369659751715938e-06,0.0016543778211677023,0.0013809528051547985
652,50,64,0.1,16,16,sigmoid,sigmoid,2.7747064377630516e-06,0.0016657450098268498,0.0013841028469169477
94,50,16,0.01,16,32,sigmoid,sigmoid,2.7953320327171437e-06,0.001671924649234272,0.0014155059353610571
421,50,32,0.1,16,32,tanh,sigmoid,2.8713035621637945e-06,0.0016944921251406848,0.001389615246508404
397,50,32,0.01,64,64,relu,sigmoid,2.879322877752362e-06,0.0016968567640647698,0.001438175277118541
661,50,64,0.1,16,32,sigmoid,sigmoid,3.041790039991589e-06,0.0017440728310456502,0.0014143669006163304
1381,100,64,0.1,16,16,sigmoid,sigmoid,3.116173240590204e-06,0.0017652686029582592,0.00145074755528075
1074,100,32,0.01,16,64,sigmoid,relu,3.1358367939690193e-06,0.0017708294084888639,0.0014813700874338077
802,100,16,0.001,64,64,relu,sigmoid,3.191193398686907e-06,0.0017863911662026621,0.0015723702368777583
352,50,32,0.01,32,16,relu,sigmoid,3.2058851843670805e-06,0.0017904985854133146,0.0015255269992687443
948,100,16,0.1,64,16,sigmoid,relu,3.213461066359786e-06,0.0017926129159302033,0.0014079208522415258
