,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1083,100,32,0.01,32,16,sigmoid,relu,1.1521725477378618e-06,0.0010733930071217448,0.0008529893529675582
1389,100,64,0.1,16,32,sigmoid,relu,1.3513012516051511e-06,0.0011624548385228354,0.0009543054120787245
556,50,64,0.001,64,32,tanh,sigmoid,1.5558664589690179e-06,0.0012473437613460924,0.0010259927751886811
277,50,32,0.001,32,16,tanh,sigmoid,1.6276365207708707e-06,0.0012757885878039788,0.0010783620026188754
54,50,16,0.001,64,16,relu,relu,1.7436639877294034e-06,0.0013204786964314886,0.0010981736371305723
334,50,32,0.01,16,32,relu,sigmoid,1.7518496519651344e-06,0.0013235745736320014,0.0010932848555920429
1306,100,64,0.01,16,32,relu,sigmoid,1.814201796770056e-06,0.0013469230849495661,0.0011102063397989402
34,50,16,0.001,32,16,tanh,sigmoid,2.1379791751731548e-06,0.0014621830169897184,0.0012057355923393274
745,100,16,0.001,16,32,tanh,sigmoid,2.2045315107686735e-06,0.0014847664835820728,0.0011557174746546905
369,50,32,0.01,32,64,relu,relu,2.21806280919437e-06,0.001489316222027535,0.001289908530837267
103,50,16,0.01,16,64,sigmoid,sigmoid,2.254068501892933e-06,0.00150135555478805,0.001228704150474187
1036,100,32,0.001,64,32,relu,sigmoid,2.276529085104118e-06,0.001508817114531817,0.0011674124167408212
753,100,16,0.001,16,64,tanh,relu,2.280493080176079e-06,0.0015101301533894617,0.001246633798404931
71,50,16,0.001,64,32,tanh,tanh,2.3022578173292008e-06,0.0015173192865475613,0.001159317613259738
101,50,16,0.01,16,64,relu,tanh,2.3300856386111382e-06,0.0015264618038493916,0.0012302218899826647
1116,100,32,0.01,64,32,relu,relu,2.337206624532898e-06,0.0015287925380943282,0.0013208459659627184
79,50,16,0.001,64,64,tanh,sigmoid,2.4311065149443664e-06,0.0015592006012519256,0.0012687065869074754
739,100,16,0.001,16,32,relu,sigmoid,2.4683650823174677e-06,0.0015711031418457122,0.00124509859400548
1249,100,64,0.001,32,16,tanh,sigmoid,2.567417764469952e-06,0.001602316374649511,0.0014106752448258396
1156,100,32,0.1,16,64,sigmoid,sigmoid,2.6187451182146716e-06,0.00161825372491914,0.0013281319483664027
112,50,16,0.01,32,16,sigmoid,sigmoid,2.6234412325591318e-06,0.0016197040570916442,0.0013406885110182403
159,50,16,0.01,64,64,tanh,relu,2.6455681333780745e-06,0.0016265202529873628,0.0012738881077777272
7,50,16,0.001,16,16,tanh,sigmoid,2.6502738956475945e-06,0.0016279661838157432,0.0013543226053964355
1092,100,32,0.01,32,32,sigmoid,relu,2.6545518018843675e-06,0.0016292795346055163,0.0013837651730808957
1314,100,64,0.01,16,64,relu,relu,2.6624125637637404e-06,0.0016316900942776299,0.0012472761247103218
1033,100,32,0.001,64,16,tanh,sigmoid,2.683377660172151e-06,0.0016381018467031135,0.0013306389120232346
286,50,32,0.001,32,32,tanh,sigmoid,2.692083365676815e-06,0.001640756948995437,0.0013123365448129542
52,50,16,0.001,32,64,tanh,sigmoid,2.7336698712711774e-06,0.001653381344781408,0.0013558656747799031
809,100,16,0.001,64,64,tanh,tanh,2.775672690021833e-06,0.001666035020646875,0.0013700797538989118
797,100,16,0.001,64,32,sigmoid,tanh,2.7805474321400395e-06,0.0016674973559619335,0.001387823128936005
86,50,16,0.01,16,16,sigmoid,tanh,2.8626293456470294e-06,0.0016919306562761458,0.0013724538224581214
408,50,32,0.1,16,16,sigmoid,relu,2.8760819516222352e-06,0.0016959015158971452,0.001441035875902545
82,50,16,0.01,16,16,relu,sigmoid,2.90649398174992e-06,0.0017048442690609368,0.0013484367347254677
63,50,16,0.001,64,32,relu,relu,3.034013771799754e-06,0.0017418420628173364,0.0013578163643095677
98,50,16,0.01,16,32,tanh,tanh,3.040518067734008e-06,0.0017437081371990005,0.0014100673856563672
1276,100,64,0.001,64,16,tanh,sigmoid,3.106025757360587e-06,0.0017623920555201635,0.0015040539157978824
1051,100,32,0.001,64,64,tanh,sigmoid,3.108573727723928e-06,0.0017631147800764215,0.0014183050600420064
130,50,16,0.01,32,64,sigmoid,sigmoid,3.116339460621474e-06,0.0017653156829931223,0.0015241372103275382
84,50,16,0.01,16,16,sigmoid,relu,3.131612491686535e-06,0.0017696362597117339,0.0014218184814151853
1138,100,32,0.1,16,16,sigmoid,sigmoid,3.1460438325182616e-06,0.0017737090608434805,0.001401439107827109
760,100,16,0.001,32,16,sigmoid,sigmoid,3.1614052309836145e-06,0.0017780340916258087,0.0015075088991831631
91,50,16,0.01,16,32,relu,sigmoid,3.1687605675920174e-06,0.0017801012801500979,0.0014263035463842164
678,50,64,0.1,32,16,sigmoid,relu,3.1715303674746105e-06,0.0017808790996231639,0.00148908780541257
100,50,16,0.01,16,64,relu,sigmoid,3.1780122593621396e-06,0.0017826980280917291,0.0014761840991369534
118,50,16,0.01,32,32,relu,sigmoid,3.1823952331018936e-06,0.001783926913609942,0.0014346093164954938
129,50,16,0.01,32,64,sigmoid,relu,3.200439155406879e-06,0.0017889771254565776,0.0014934043226174209
1126,100,32,0.01,64,64,relu,sigmoid,3.213519090910812e-06,0.001792629100207517,0.00147622213732255
1339,100,64,0.01,32,32,tanh,sigmoid,3.2384638063338244e-06,0.001799573228944525,0.0015242415659427503
804,100,16,0.001,64,64,sigmoid,relu,3.2549778762400686e-06,0.001804155723944047,0.0014914178647597177
1055,100,32,0.01,16,16,relu,tanh,3.2611239232917584e-06,0.0018058582234748548,0.0015483567635679427
1268,100,64,0.001,32,64,tanh,tanh,3.2705713810464576e-06,0.001808472112322017,0.0015215142959871591
1081,100,32,0.01,32,16,relu,sigmoid,3.2851227138744944e-06,0.0018124907486314224,0.001465612042554465
772,100,16,0.001,32,32,tanh,sigmoid,3.3027712456996934e-06,0.0018173528126645341,0.0014837556353998532
1122,100,32,0.01,64,32,tanh,relu,3.357027801423953e-06,0.0018322193649844313,0.0015030363834901272
806,100,16,0.001,64,64,sigmoid,tanh,3.3620071639567267e-06,0.0018335776950968636,0.0015459298955204249
94,50,16,0.01,16,32,sigmoid,sigmoid,3.371102769020461e-06,0.0018360563087826203,0.001589508499706733
342,50,32,0.01,16,64,relu,relu,3.372838835702666e-06,0.0018365290184755225,0.001529857106703329
1060,100,32,0.01,16,16,tanh,sigmoid,3.399773240401833e-06,0.001843847401604003,0.0015172857972064228
1008,100,32,0.001,32,32,relu,relu,3.4069457596138465e-06,0.0018457913640533283,0.001564405350209963
808,100,16,0.001,64,64,tanh,sigmoid,3.4166314606388706e-06,0.0018484132277818374,0.0014843395526326607
148,50,16,0.01,64,32,sigmoid,sigmoid,3.4169294109856478e-06,0.0018484938222741367,0.0015423152124779838
136,50,16,0.01,64,16,relu,sigmoid,3.420049979706501e-06,0.001849337713806351,0.0016091905065589826
1315,100,64,0.01,16,64,relu,sigmoid,3.43546940547184e-06,0.0018535019302584608,0.0015294612840332101
1333,100,64,0.01,32,32,relu,sigmoid,3.4438272320583323e-06,0.0018557551649014297,0.0014602404319600973
137,50,16,0.01,64,16,relu,tanh,3.46792186185683e-06,0.0018622357159760496,0.0015768746896106956
102,50,16,0.01,16,64,sigmoid,relu,3.469046477065412e-06,0.0018625376444693438,0.0016153994777132366
1150,100,32,0.1,16,32,tanh,sigmoid,3.5087422709751926e-06,0.0018731637064002687,0.0015131277073819362
339,50,32,0.01,16,32,tanh,relu,3.513409154961135e-06,0.0018744090148527176,0.001613159403036239
751,100,16,0.001,16,64,sigmoid,sigmoid,3.535860032451037e-06,0.0018803882664096363,0.0016338767540718512
1071,100,32,0.01,16,64,relu,relu,3.536889831666101e-06,0.0018806620726930451,0.0015600306841710456
64,50,16,0.001,64,32,relu,sigmoid,3.5653561724190853e-06,0.0018882150757842935,0.0015546372713783026
5,50,16,0.001,16,16,sigmoid,tanh,3.566528292345445e-06,0.0018885254280378236,0.001464139382127228
1271,100,64,0.001,64,16,relu,tanh,3.574859450657436e-06,0.0018907298724718548,0.0014692717179319713
123,50,16,0.01,32,32,tanh,relu,3.610030404499669e-06,0.0019000080011672765,0.0015625066505379444
1330,100,64,0.01,32,16,tanh,sigmoid,3.6467686455135875e-06,0.0019096514460795163,0.0016391863411709226
1369,100,64,0.01,64,64,relu,sigmoid,3.6575232131403906e-06,0.001912465218805401,0.001585743919321763
108,50,16,0.01,32,16,relu,relu,3.660006840575816e-06,0.001913114434783193,0.001531231078930355
1110,100,32,0.01,64,16,sigmoid,relu,3.660499026949549e-06,0.0019132430653081038,0.0017374480106050038
1093,100,32,0.01,32,32,sigmoid,sigmoid,3.664865018268882e-06,0.0019143837176148573,0.001585973550831348
348,50,32,0.01,16,64,tanh,relu,3.675209317411803e-06,0.0019170835447136368,0.0016856812496254885
88,50,16,0.01,16,16,tanh,sigmoid,3.6805600822529145e-06,0.0019184785852995375,0.0016269626813170317
1312,100,64,0.01,16,32,tanh,sigmoid,3.6956277293764853e-06,0.001922401552583769,0.0015904267365912323
736,100,16,0.001,16,16,tanh,sigmoid,3.7082478586068856e-06,0.0019256811414683599,0.001517437400556509
980,100,32,0.001,16,16,tanh,tanh,3.709874973616321e-06,0.0019261035729202936,0.0015846185615529071
1222,100,64,0.001,16,16,tanh,sigmoid,3.7146100453481825e-06,0.0019273323650445407,0.0016470421590162128
789,100,16,0.001,64,16,tanh,relu,3.7155407162813197e-06,0.001927573790100218,0.0016148771213296107
978,100,32,0.001,16,16,tanh,relu,3.7199724196767738e-06,0.001928723002319611,0.0014351810025215776
811,100,16,0.01,16,16,relu,sigmoid,3.7398656952334827e-06,0.0019338732365988941,0.0015713753453144225
166,50,16,0.1,16,16,sigmoid,sigmoid,3.7407590655228737e-06,0.0019341042023435227,0.0014539350280054317
1084,100,32,0.01,32,16,sigmoid,sigmoid,3.743887393653967e-06,0.0019349127612515163,0.0015692478093058573
735,100,16,0.001,16,16,tanh,relu,3.744517504329276e-06,0.0019350755810379284,0.0015465207669027494
776,100,16,0.001,32,64,relu,tanh,3.7461506217560173e-06,0.001935497512722767,0.0015243889765623742
1085,100,32,0.01,32,16,sigmoid,tanh,3.7621858364910204e-06,0.0019396354906247256,0.0017041338756205655
1285,100,64,0.001,64,32,tanh,sigmoid,3.763769263793488e-06,0.0019400436241985611,0.0015796503494588147
1113,100,32,0.01,64,16,tanh,relu,3.7674987973869375e-06,0.00194100458458679,0.0016739510163150575
353,50,32,0.01,32,16,relu,tanh,3.768964334536957e-06,0.0019413820681506658,0.0015647500504839395
1075,100,32,0.01,16,64,sigmoid,sigmoid,3.7772169782036072e-06,0.0019435063617605185,0.0016185922274952022
1356,100,64,0.01,64,16,tanh,relu,3.779709476412411e-06,0.0019441474934820174,0.001626069398407544
366,50,32,0.01,32,32,tanh,relu,3.7820631099454612e-06,0.0019447527117722348,0.0016479163288578762
59,50,16,0.001,64,16,sigmoid,tanh,3.792749807442846e-06,0.001947498345940978,0.0017372327355828184
1069,100,32,0.01,16,32,tanh,sigmoid,3.804168935745413e-06,0.0019504278852973296,0.0016840990288141725
20,50,16,0.001,16,64,relu,tanh,3.8146942372423563e-06,0.0019531242247338894,0.0016201636628688932
70,50,16,0.001,64,32,tanh,sigmoid,3.822281741263832e-06,0.0019550656616246502,0.0016881127007610894
1098,100,32,0.01,32,64,relu,relu,3.828988253553813e-06,0.0019567800728630216,0.0016019169577697744
153,50,16,0.01,64,64,relu,relu,3.831733043745047e-06,0.0019574813009949924,0.0016850134344105158
1024,100,32,0.001,32,64,tanh,sigmoid,3.8374352481352956e-06,0.0019589372751916525,0.0016945235012847345
1360,100,64,0.01,64,32,relu,sigmoid,3.863329995226839e-06,0.001965535549214727,0.0015907193024306905
333,50,32,0.01,16,32,relu,relu,3.863668540633942e-06,0.0019656216677260002,0.001714299165060679
113,50,16,0.01,32,16,sigmoid,tanh,3.864575257957975e-06,0.001965852298103287,0.001629045253905933
846,100,16,0.01,32,32,relu,relu,3.865042189461643e-06,0.001965971055092532,0.001537464339005831
1080,100,32,0.01,32,16,relu,relu,3.8715861666053595e-06,0.0019676346628897754,0.001740404174727954
1072,100,32,0.01,16,64,relu,sigmoid,3.885745491369659e-06,0.001971229436511554,0.0016143892899125806
1240,100,64,0.001,16,64,tanh,sigmoid,3.887073026918672e-06,0.0019715661355680343,0.0017739183463280506
274,50,32,0.001,32,16,sigmoid,sigmoid,3.890889549926324e-06,0.001972533789299013,0.00181609198099739
44,50,16,0.001,32,32,tanh,tanh,3.906157661760406e-06,0.0019764001775350068,0.0016843612190443951
1359,100,64,0.01,64,32,relu,relu,3.912993997490845e-06,0.0019781289132639575,0.0016555152913610017
1054,100,32,0.01,16,16,relu,sigmoid,3.9145222566328215e-06,0.001978515164620383,0.0016020820935188206
22,50,16,0.001,16,64,sigmoid,sigmoid,3.914942502905483e-06,0.0019786213642093028,0.0018339081649674624
1318,100,64,0.01,16,64,sigmoid,sigmoid,3.9171184459625895e-06,0.0019791711512556435,0.0017200340396045378
1380,100,64,0.1,16,16,sigmoid,relu,3.91798432162603e-06,0.001979389886208887,0.0017000072746475568
268,50,32,0.001,16,64,tanh,sigmoid,3.931851134992414e-06,0.0019828895922346292,0.0017175707381751916
1130,100,32,0.01,64,64,sigmoid,tanh,3.9338261995981e-06,0.001983387556580433,0.0016543410665958121
157,50,16,0.01,64,64,sigmoid,sigmoid,3.949971529652416e-06,0.00198745352892902,0.001638401924676323
1252,100,64,0.001,32,32,relu,sigmoid,3.960804754891194e-06,0.001990177066215766,0.0017601750674658026
409,50,32,0.1,16,16,sigmoid,sigmoid,3.961763670627827e-06,0.0019904179638025343,0.0015816902284855618
787,100,16,0.001,64,16,sigmoid,sigmoid,3.967107565208243e-06,0.001991759916558279,0.0017161142125313481
117,50,16,0.01,32,32,relu,relu,3.969905805647232e-06,0.0019924622469816664,0.00172099322067058
340,50,32,0.01,16,32,tanh,sigmoid,3.977565421403192e-06,0.0019943834689956676,0.0016170769457942472
580,50,64,0.01,16,32,sigmoid,sigmoid,3.977696971458679e-06,0.0019944164488538193,0.0018231520764335086
839,100,16,0.01,32,16,relu,tanh,3.9811479092303344e-06,0.0019952814110371334,0.0016373419735025152
154,50,16,0.01,64,64,relu,sigmoid,3.9961130639256344e-06,0.001999028029799891,0.0015967446609065012
1209,100,32,0.1,64,64,sigmoid,relu,4.015274118553095e-06,0.0020038148912893865,0.001394270305010724
80,50,16,0.001,64,64,tanh,tanh,4.0188085308773734e-06,0.002004696618163799,0.001583098075083085
1299,100,64,0.01,16,16,sigmoid,relu,4.031708532017713e-06,0.0020079114851052856,0.001710300254416493
1103,100,32,0.01,32,64,sigmoid,tanh,4.03452190548478e-06,0.0020086119350150194,0.00163687218528414
1321,100,64,0.01,16,64,tanh,sigmoid,4.038338410314387e-06,0.002009561745832754,0.001659242021510388
1056,100,32,0.01,16,16,sigmoid,relu,4.040649667828326e-06,0.0020101367286402003,0.0016404615239938906
349,50,32,0.01,16,64,tanh,sigmoid,4.041687334104877e-06,0.002010394820453156,0.0017196084340905659
337,50,32,0.01,16,32,sigmoid,sigmoid,4.0482756198364506e-06,0.002012032708441006,0.001813082063178491
1332,100,64,0.01,32,32,relu,relu,4.064693468398784e-06,0.0020161084961873416,0.0017707357458453122
145,50,16,0.01,64,32,relu,sigmoid,4.067701131920491e-06,0.002016854266406101,0.001702826350942384
417,50,32,0.1,16,32,sigmoid,relu,4.069258232909685e-06,0.0020172402516581123,0.001523815353205666
1307,100,64,0.01,16,32,relu,tanh,4.074840514693202e-06,0.00201862342072344,0.0017656392072839702
873,100,16,0.01,64,32,relu,relu,4.080115575148337e-06,0.002019929596582103,0.0016974300466114246
1125,100,32,0.01,64,64,relu,relu,4.082472292010588e-06,0.002020512878456999,0.0017414464875185054
93,50,16,0.01,16,32,sigmoid,relu,4.085026458740679e-06,0.0020211448386349452,0.001713581716591803
1302,100,64,0.01,16,16,tanh,relu,4.088549894996718e-06,0.002022016294443919,0.0016844646204519764
571,50,64,0.01,16,16,sigmoid,sigmoid,4.088688342824123e-06,0.0020220505292460234,0.0018854588268364199
1309,100,64,0.01,16,32,sigmoid,sigmoid,4.089214156159511e-06,0.002022180544896897,0.0017457913128827187
1310,100,64,0.01,16,32,sigmoid,tanh,4.08948610986812e-06,0.002022247786466367,0.00184248466980446
331,50,32,0.01,16,16,tanh,sigmoid,4.091234227121429e-06,0.0020226799616156355,0.001696748713455154
795,100,16,0.001,64,32,sigmoid,relu,4.091574864256989e-06,0.0020227641642705137,0.0016734200720628512
149,50,16,0.01,64,32,sigmoid,tanh,4.101144240252913e-06,0.002025128203411555,0.001698658198564817
595,50,64,0.01,32,16,relu,sigmoid,4.103871785176916e-06,0.0020258015167278643,0.0017435069976705824
