,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
936,100,16,0.1,32,64,relu,relu,3.1547252757945033e-07,0.0005616694112905298,0.00047275152459477657
435,50,32,0.1,32,16,sigmoid,relu,3.2015833253927556e-07,0.0005658253551576454,0.0005041390565631456
82,50,16,0.01,16,16,relu,sigmoid,3.8935513220939264e-07,0.0006239832787898989,0.00047881594775219275
118,50,16,0.01,32,32,relu,sigmoid,4.389578871877438e-07,0.0006625389703162704,0.000463448867758736
1197,100,32,0.1,64,32,relu,relu,5.561351363028636e-07,0.000745744685735583,0.0006348689703840109
163,50,16,0.1,16,16,relu,sigmoid,5.878756199160209e-07,0.0007667304741015717,0.0006629244382578643
193,50,16,0.1,32,16,sigmoid,sigmoid,5.898449684305894e-07,0.0007680136512006733,0.0006136711613538787
102,50,16,0.01,16,64,sigmoid,relu,7.010000917645498e-07,0.0008372574823580556,0.0006640256227670172
91,50,16,0.01,16,32,relu,sigmoid,7.026400042404318e-07,0.0008382362460788914,0.0006599745776882744
122,50,16,0.01,32,32,sigmoid,tanh,7.528541229215115e-07,0.0008676716676955124,0.0006816964201942173
842,100,16,0.01,32,16,sigmoid,tanh,7.606690909836557e-07,0.0008721634542811661,0.0006681790861302992
432,50,32,0.1,32,16,relu,relu,7.659283179024144e-07,0.0008751733073525576,0.0007558903421456843
1343,100,64,0.01,32,64,relu,tanh,7.731405489762853e-07,0.000879284111636441,0.0006667134521409671
815,100,16,0.01,16,16,sigmoid,tanh,8.021869454505612e-07,0.0008956488963039932,0.0007307003886708414
101,50,16,0.01,16,64,relu,tanh,8.226768593006694e-07,0.0009070153578086037,0.0007874827974293363
676,50,64,0.1,32,16,relu,sigmoid,8.293656123944013e-07,0.0009106951259309568,0.0007718760956616596
427,50,32,0.1,16,64,sigmoid,sigmoid,8.964041173190117e-07,0.0009467862046518272,0.0007444022028746871
208,50,16,0.1,32,64,relu,sigmoid,8.964608930639316e-07,0.0009468161875802143,0.0007949213952215116
810,100,16,0.01,16,16,relu,relu,9.058824628367066e-07,0.0009517785786813583,0.0007653717538758773
1404,100,64,0.1,32,16,relu,relu,9.145187956163097e-07,0.0009563047608457827,0.0008367757173226286
95,50,16,0.01,16,32,sigmoid,tanh,9.463620254498679e-07,0.0009728114028165315,0.0007962074936012955
840,100,16,0.01,32,16,sigmoid,relu,9.633136214618825e-07,0.0009814854158172106,0.0008070133455084493
855,100,16,0.01,32,64,relu,relu,9.684263096270953e-07,0.0009840865356395723,0.0007890555629106069
145,50,16,0.01,64,32,relu,sigmoid,9.727985288509886e-07,0.0009863054946876188,0.000834209477131787
1063,100,32,0.01,16,32,relu,sigmoid,9.783841126069777e-07,0.0009891330105738954,0.0008605536459271482
138,50,16,0.01,64,16,sigmoid,relu,9.8219169454329e-07,0.0009910558483472512,0.0007837955656923651
1101,100,32,0.01,32,64,sigmoid,relu,9.957828080914943e-07,0.000997889176257311,0.0008069102621700913
1067,100,32,0.01,16,32,sigmoid,tanh,1.0261619292609112e-06,0.001012996509994438,0.0007890952926460505
651,50,64,0.1,16,16,sigmoid,relu,1.02893004417641e-06,0.0010143618901439515,0.0007781933549231194
693,50,64,0.1,32,64,relu,relu,1.043129829167557e-06,0.0010213372749329954,0.0008756959955683742
1450,100,64,0.1,64,64,relu,sigmoid,1.0728027735940476e-06,0.0010357619290136356,0.0007970072641639992
450,50,32,0.1,32,64,relu,relu,1.0773737605982142e-06,0.0010379661654399985,0.0008740819100056216
1100,100,32,0.01,32,64,relu,tanh,1.085040896401125e-06,0.0010416529635157406,0.000813358190044727
1103,100,32,0.01,32,64,sigmoid,tanh,1.0860002720577257e-06,0.0010421133681407823,0.000839764787150783
1329,100,64,0.01,32,16,tanh,relu,1.0870886864739598e-06,0.0010426354523389082,0.0007930558036624014
113,50,16,0.01,32,16,sigmoid,tanh,1.1188692785476798e-06,0.0010577661738530306,0.0008201899117904042
173,50,16,0.1,16,32,relu,tanh,1.1223526520422615e-06,0.001059411464938086,0.0008725169805930241
1356,100,64,0.01,64,16,tanh,relu,1.139704561733755e-06,0.0010675694645941101,0.0008513210799781246
324,50,32,0.01,16,16,relu,relu,1.1461237671337605e-06,0.0010705717010708626,0.0009138967145222781
1161,100,32,0.1,32,16,relu,relu,1.1499912502067415e-06,0.0010723764498564586,0.0009409588522634231
114,50,16,0.01,32,16,tanh,relu,1.1501596347763596e-06,0.0010724549569918354,0.0008579486302084648
89,50,16,0.01,16,16,tanh,tanh,1.1523680121995548e-06,0.0010734840530718446,0.0008974048839829619
813,100,16,0.01,16,16,sigmoid,relu,1.1657163505350442e-06,0.0010796834492271539,0.00082515306369255
1344,100,64,0.01,32,64,sigmoid,relu,1.1956607624618481e-06,0.0010934627394026044,0.0008726923813028454
851,100,16,0.01,32,32,sigmoid,tanh,1.2009697285468607e-06,0.0010958876441254644,0.000863156608653688
1127,100,32,0.01,64,64,relu,tanh,1.209081285416958e-06,0.0010995823231650088,0.0008888740943655935
1110,100,32,0.01,64,16,sigmoid,relu,1.222766248205381e-06,0.0011057876144203195,0.0009251244418590946
884,100,16,0.01,64,64,relu,tanh,1.225337018230452e-06,0.0011069494199061004,0.0008998097763398307
141,50,16,0.01,64,16,tanh,relu,1.2329866922060381e-06,0.001110399339069525,0.0009180705921455913
824,100,16,0.01,16,32,sigmoid,tanh,1.234117095967122e-06,0.001110908230218465,0.0009206653429034899
81,50,16,0.01,16,16,relu,relu,1.238170823837332e-06,0.001112731245106981,0.0009427560878585042
816,100,16,0.01,16,16,tanh,relu,1.2512202480877754e-06,0.0011185795671689053,0.0009146591264108468
120,50,16,0.01,32,32,sigmoid,relu,1.2542972877687927e-06,0.0011199541453866728,0.0008858457574480812
649,50,64,0.1,16,16,relu,sigmoid,1.2592062189499841e-06,0.0011221435821453438,0.0009157674819348637
131,50,16,0.01,32,64,sigmoid,tanh,1.2728965182769378e-06,0.0011282271572147773,0.0009250575027487433
408,50,32,0.1,16,16,sigmoid,relu,1.274370125626482e-06,0.0011288800315474104,0.000977125836709377
887,100,16,0.01,64,64,sigmoid,tanh,1.2869590175850103e-06,0.001134442161410184,0.0009192810189695518
1340,100,64,0.01,32,32,tanh,tanh,1.2940767033939757e-06,0.0011375749221013865,0.0008776677065810278
94,50,16,0.01,16,32,sigmoid,sigmoid,1.296279013115746e-06,0.0011385424950856012,0.0008936931898324756
858,100,16,0.01,32,64,sigmoid,relu,1.3080278224966795e-06,0.0011436904399778289,0.0008766857401936264
