,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1409,100,64,0.1,32,16,sigmoid,tanh,5.906354773258742e-07,0.0007685281239654631,0.0005668614945038877
1390,100,64,0.1,16,32,sigmoid,sigmoid,7.259566620801405e-07,0.0008520309044161135,0.0006346346112094126
1381,100,64,0.1,16,16,sigmoid,sigmoid,7.366115358025149e-07,0.0008582607621244927,0.0006497632260439554
1405,100,64,0.1,32,16,relu,sigmoid,9.191225221260853e-07,0.0009587087785798591,0.0008080579715295738
652,50,64,0.1,16,16,sigmoid,sigmoid,9.792538023746772e-07,0.000989572535176011,0.0007472612402280153
815,100,16,0.01,16,16,sigmoid,tanh,9.957231508657754e-07,0.0009978592841006068,0.0007955176882380213
1382,100,64,0.1,16,16,sigmoid,tanh,1.025959469203971e-06,0.0010128965737941714,0.0008155109113514484
914,100,16,0.1,16,64,sigmoid,tanh,1.0462386121223557e-06,0.0010228580605941156,0.0008419615755002631
86,50,16,0.01,16,16,sigmoid,tanh,1.0651488162280033e-06,0.0010320604712069944,0.0008379879658157139
878,100,16,0.01,64,32,sigmoid,tanh,1.1617000218884366e-06,0.001077821887831397,0.0008931399518203682
842,100,16,0.01,32,16,sigmoid,tanh,1.1708560066974052e-06,0.0010820609995270162,0.0008509202549468718
689,50,64,0.1,32,32,sigmoid,tanh,1.183737303769228e-06,0.0010879969226837123,0.000850891831125971
1058,100,32,0.01,16,16,sigmoid,tanh,1.1889672329010822e-06,0.001090397740689645,0.0008690347878329032
833,100,16,0.01,16,64,sigmoid,tanh,1.1965662385034127e-06,0.0010938767016914716,0.0008747064822661888
1418,100,64,0.1,32,32,sigmoid,tanh,1.1975262975152327e-06,0.0010943154469873998,0.0009479793191679165
1094,100,32,0.01,32,32,sigmoid,tanh,1.2210966597174963e-06,0.0011050324247358068,0.0008906779515832002
104,50,16,0.01,16,64,sigmoid,tanh,1.2601201804067827e-06,0.0011225507473636917,0.0008714022058541278
662,50,64,0.1,16,32,sigmoid,tanh,1.3079506048408873e-06,0.0011436566813694078,0.0009472911475237346
410,50,32,0.1,16,16,sigmoid,tanh,1.32326701090078e-06,0.0011503334346617854,0.0009419835266706504
656,50,64,0.1,16,16,tanh,tanh,1.3784479372517508e-06,0.0011740732248253303,0.0009385749524742094
129,50,16,0.01,32,64,sigmoid,relu,1.3792256560753029e-06,0.0011744043835388656,0.0009194712243551772
184,50,16,0.1,16,64,sigmoid,sigmoid,1.3806125416760685e-06,0.0011749946985736015,0.0008726428203373689
887,100,16,0.01,64,64,sigmoid,tanh,1.3864522979585229e-06,0.0011774770902053776,0.0009508298409411678
1085,100,32,0.01,32,16,sigmoid,tanh,1.394796257565047e-06,0.0011810149269018775,0.0009456813992683649
824,100,16,0.01,16,32,sigmoid,tanh,1.4081149287984197e-06,0.0011866401850596582,0.0009521977698532343
1412,100,64,0.1,32,16,tanh,tanh,1.4134232728926266e-06,0.0011888747927736656,0.0009097431644128496
1065,100,32,0.01,16,32,sigmoid,relu,1.415886092400401e-06,0.001189910119462979,0.0009348125985736857
