,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
129,50,16,0.01,32,64,sigmoid,relu,6.42145716988685e-07,0.0008013399509500853,0.0006544756815804344
102,50,16,0.01,16,64,sigmoid,relu,6.641663306281444e-07,0.0008149640057254948,0.0006876873115341677
86,50,16,0.01,16,16,sigmoid,tanh,6.661595846410269e-07,0.0008161859988023728,0.000637248648527409
817,100,16,0.01,16,16,tanh,sigmoid,6.931783825432354e-07,0.0008325733496474863,0.0007089715486423758
211,50,16,0.1,32,64,sigmoid,sigmoid,8.267068824251879e-07,0.0009092342285820458,0.0006831802419590863
1299,100,64,0.01,16,16,sigmoid,relu,8.711867930644265e-07,0.0009333738763563219,0.0007921005550883723
823,100,16,0.01,16,32,sigmoid,sigmoid,8.760483005175586e-07,0.0009359745191604089,0.000743907460681271
1380,100,64,0.1,16,16,sigmoid,relu,9.043450065857238e-07,0.0009509705603149468,0.0007348070669453542
120,50,16,0.01,32,32,sigmoid,relu,1.088523364645828e-06,0.0010433232311445135,0.0008388627139650302
139,50,16,0.01,64,16,sigmoid,sigmoid,1.1206102637559087e-06,0.0010585888076849806,0.0008562650320663577
1390,100,64,0.1,16,32,sigmoid,sigmoid,1.1524990395572782e-06,0.0010735450803563296,0.0008643159130815254
814,100,16,0.01,16,16,sigmoid,sigmoid,1.1627243611937703e-06,0.0010782969726349835,0.0008656935575621252
1410,100,64,0.1,32,16,tanh,relu,1.16599717090773e-06,0.0010798134889450724,0.0009459268908652321
94,50,16,0.01,16,32,sigmoid,sigmoid,1.1824998191480194e-06,0.0010874280753907447,0.0008979003201455499
98,50,16,0.01,16,32,tanh,tanh,1.262320347645159e-06,0.0011235303056193718,0.0009242338191648146
156,50,16,0.01,64,64,sigmoid,relu,1.3313410542053052e-06,0.0011538375337131763,0.0009063258866862414
392,50,32,0.01,64,32,sigmoid,tanh,1.3391851534522375e-06,0.0011572316766543498,0.0009167521374528259
887,100,16,0.01,64,64,sigmoid,tanh,1.4007568772295372e-06,0.0011835357524086617,0.0009862700372496615
441,50,32,0.1,32,32,relu,relu,1.4166362293632123e-06,0.0011902252851301775,0.0009665271056866282
89,50,16,0.01,16,16,tanh,tanh,1.4393900846960622e-06,0.001199745841708177,0.000917347534092469
225,50,16,0.1,64,32,relu,relu,1.4427753637606473e-06,0.0012011558449096635,0.0009221164613708395
