,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1024,100,32,0.001,32,64,tanh,sigmoid,7.134594710211808e-07,0.0008446653011821788,0.0006909010187235273
1444,100,64,0.1,64,32,sigmoid,sigmoid,7.517820555733441e-07,0.0008670536636064368,0.0006986010763219238
1192,100,32,0.1,64,16,sigmoid,sigmoid,7.715313630832625e-07,0.0008783685804280926,0.0007463796244364083
1210,100,32,0.1,64,64,sigmoid,sigmoid,8.542895918948373e-07,0.0009242778759089916,0.0007792603705842218
26,50,16,0.001,16,64,tanh,tanh,9.019962505918328e-07,0.0009497348317250625,0.0007536118812762495
1201,100,32,0.1,64,32,sigmoid,sigmoid,9.12285375145075e-07,0.0009551363123371841,0.0007489710086906514
1417,100,64,0.1,32,32,sigmoid,sigmoid,9.152849880682766e-07,0.0009567052775375898,0.0008131473516762046
1016,100,32,0.001,32,32,tanh,tanh,9.53898870181797e-07,0.0009766774647660286,0.000813936429626924
730,100,16,0.001,16,16,relu,sigmoid,1.0269497920001144e-06,0.0010133853127019922,0.0008486470827310002
361,50,32,0.01,32,32,relu,sigmoid,1.071066161303901e-06,0.0010349232634857045,0.0007737886577427442
1054,100,32,0.01,16,16,relu,sigmoid,1.0867532372059321e-06,0.0010424745738894221,0.0009056323367421189
198,50,16,0.1,32,32,relu,relu,1.088369246359949e-06,0.0010432493692113833,0.0008703235490541031
1043,100,32,0.001,64,32,tanh,tanh,1.095316679592226e-06,0.0010465737812463227,0.0008595213552583283
1074,100,32,0.01,16,64,sigmoid,relu,1.0998507709554894e-06,0.0010487377036015675,0.0008917205937357675
997,100,32,0.001,16,64,tanh,sigmoid,1.144121342441505e-06,0.001069636079440809,0.000867991527014348
463,50,32,0.1,64,16,sigmoid,sigmoid,1.1487383822002744e-06,0.001071792135724215,0.0009277629433656114
342,50,32,0.01,16,64,relu,relu,1.1745814774924406e-06,0.001083781102203042,0.0008677538327109486
1075,100,32,0.01,16,64,sigmoid,sigmoid,1.186140087909723e-06,0.0010891005866813786,0.0009563503893364394
1083,100,32,0.01,32,16,sigmoid,relu,1.2092166523648542e-06,0.0010996438752454607,0.0009017162144035835
