,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
655,50,64,0.1,16,16,tanh,sigmoid,1.187663141572686e-06,0.0010897995878016683,0.0009311185090358848
100,50,16,0.01,16,64,relu,sigmoid,1.258019701941725e-06,0.0011216147743061005,0.0009517371523706242
679,50,64,0.1,32,16,sigmoid,sigmoid,1.2607705245717048e-06,0.0011228403824995361,0.0009551282095896507
428,50,32,0.1,16,64,sigmoid,tanh,1.2631486279138394e-06,0.0011238988512823737,0.0009816544882367418
410,50,32,0.1,16,16,sigmoid,tanh,1.2741758922599618e-06,0.0011287939990361226,0.0009132075969635997
1382,100,64,0.1,16,16,sigmoid,tanh,1.3132212542004355e-06,0.0011459586616455392,0.0010007813092994472
1309,100,64,0.01,16,32,sigmoid,sigmoid,1.3261507020385527e-06,0.0011515861678739255,0.0009429047803262244
103,50,16,0.01,16,64,sigmoid,sigmoid,1.3357945412819277e-06,0.0011557657813250606,0.0009712655699235663
755,100,16,0.001,16,64,tanh,tanh,1.341061789193466e-06,0.0011580422225434901,0.0009402217474519742
1391,100,64,0.1,16,32,sigmoid,tanh,1.3514964782537694e-06,0.001162538807203342,0.0010283751900514232
1075,100,32,0.01,16,64,sigmoid,sigmoid,1.3522797576669145e-06,0.0011628756415313353,0.0009694434256509104
43,50,16,0.001,32,32,tanh,sigmoid,1.3784888252835718e-06,0.0011740906375930147,0.0009390714832571628
1312,100,64,0.01,16,32,tanh,sigmoid,1.3808885876489303e-06,0.001175112159603895,0.0009306083864995082
454,50,32,0.1,32,64,sigmoid,sigmoid,1.3886618989296337e-06,0.0011784149943587928,0.000954984471731069
790,100,16,0.001,64,16,tanh,sigmoid,1.4185302463295643e-06,0.0011910206741822596,0.000964201667740665
736,100,16,0.001,16,16,tanh,sigmoid,1.423069775408039e-06,0.0011929248825504643,0.0009607131107497301
763,100,16,0.001,32,16,tanh,sigmoid,1.4313210383222192e-06,0.0011963783006734197,0.0010281336144061768
1024,100,32,0.001,32,64,tanh,sigmoid,1.4488521378083345e-06,0.001203682739681987,0.0009556112210119587
1066,100,32,0.01,16,32,sigmoid,sigmoid,1.4952627777876276e-06,0.0012228093791706162,0.0010146164744813983
346,50,32,0.01,16,64,sigmoid,sigmoid,1.4971193155675209e-06,0.0012235682717231275,0.0010306939828931803
1400,100,64,0.1,16,64,sigmoid,tanh,1.5223143922528924e-06,0.0012338210535782295,0.0010075450427285344
436,50,32,0.1,32,16,sigmoid,sigmoid,1.5429361783768175e-06,0.0012421498212280262,0.001010849381680665
130,50,16,0.01,32,64,sigmoid,sigmoid,1.5468771978335617e-06,0.0012437351799452975,0.001048138865870441
1129,100,32,0.01,64,64,sigmoid,sigmoid,1.5592952180704088e-06,0.0012487174292330546,0.0009998784835574452
1057,100,32,0.01,16,16,sigmoid,sigmoid,1.5667825589029393e-06,0.001251711851387107,0.0010374655139728892
652,50,64,0.1,16,16,sigmoid,sigmoid,1.5910128816958892e-06,0.0012613535910663152,0.0010924945017895995
766,100,16,0.001,32,32,relu,sigmoid,1.6397485192525703e-06,0.0012805266569863238,0.001043698249540807
367,50,32,0.01,32,32,tanh,sigmoid,1.6439205352250447e-06,0.0012821546455966397,0.0010087471747039379
1146,100,32,0.1,16,32,sigmoid,relu,1.651038002438179e-06,0.0012849272362426517,0.0010738076943418487
592,50,64,0.01,16,64,tanh,sigmoid,1.6579214864812247e-06,0.0012876030003387009,0.0010798427612150306
1384,100,64,0.1,16,16,tanh,sigmoid,1.6582963379235315e-06,0.0012877485538425315,0.0011079049089527634
1349,100,64,0.01,32,64,tanh,tanh,1.6598582761330124e-06,0.0012883548719716212,0.0010427027261675046
1336,100,64,0.01,32,32,sigmoid,sigmoid,1.6613790560299872e-06,0.0012889449390994121,0.0010744877800191299
364,50,32,0.01,32,32,sigmoid,sigmoid,1.6648046087160852e-06,0.001290273075250385,0.001041637268707941
1027,100,32,0.001,64,16,relu,sigmoid,1.6730439540792934e-06,0.0012934620033380544,0.001024120062229811
359,50,32,0.01,32,16,tanh,tanh,1.6739123788590936e-06,0.0012937976576184909,0.0010366121782525814
1390,100,64,0.1,16,32,sigmoid,sigmoid,1.6837451710372842e-06,0.0012975920664975123,0.001075415747065127
1321,100,64,0.01,16,64,tanh,sigmoid,1.6908357157275325e-06,0.0013003213893986105,0.001059764580154443
1177,100,32,0.1,32,32,tanh,sigmoid,1.6980496322319476e-06,0.0013030923344997268,0.0010551477066161065
921,100,16,0.1,32,16,sigmoid,relu,1.7008954051249906e-06,0.0013041838080289875,0.00103406970123597
413,50,32,0.1,16,16,tanh,tanh,1.7046374230122016e-06,0.0013056176404339064,0.0011138762891847284
601,50,64,0.01,32,16,tanh,sigmoid,1.7060110513677085e-06,0.0013061435799205648,0.0010037912607155195
349,50,32,0.01,16,64,tanh,sigmoid,1.713593620575988e-06,0.0013090430170838497,0.0010659894131706562
746,100,16,0.001,16,32,tanh,tanh,1.7198660120989675e-06,0.001311436621457159,0.001088459409914697
613,50,64,0.01,32,64,relu,sigmoid,1.7359907312361328e-06,0.0013175700099942063,0.0010503838899069212
997,100,32,0.001,16,64,tanh,sigmoid,1.7624407354226098e-06,0.0013275694842164044,0.001082531377160513
1121,100,32,0.01,64,32,sigmoid,tanh,1.7678334490505936e-06,0.0013295989805390924,0.0010265529408776072
1083,100,32,0.01,32,16,sigmoid,relu,1.7729146224628257e-06,0.0013315084011987404,0.0010366454319105534
176,50,16,0.1,16,32,sigmoid,tanh,1.7780009074665826e-06,0.001333417004341321,0.0011296922907366627
121,50,16,0.01,32,32,sigmoid,sigmoid,1.7795167877603634e-06,0.0013339853026777932,0.0011166108518248724
661,50,64,0.1,16,32,sigmoid,sigmoid,1.7809917517972287e-06,0.0013345380293559373,0.0010994629089777581
1409,100,64,0.1,32,16,sigmoid,tanh,1.7828181002357988e-06,0.0013352221164419794,0.0011535766460965137
1033,100,32,0.001,64,16,tanh,sigmoid,1.7904210494122374e-06,0.0013380661603269988,0.0011160500154202605
1327,100,64,0.01,32,16,sigmoid,sigmoid,1.8031565335338945e-06,0.0013428166418144715,0.0010576931558313885
1306,100,64,0.01,16,32,relu,sigmoid,1.8050170851772608e-06,0.0013435092426839724,0.0010476207009141555
1042,100,32,0.001,64,32,tanh,sigmoid,1.8069272477837023e-06,0.001344219940256691,0.0010799211573256772
331,50,32,0.01,16,16,tanh,sigmoid,1.8134163757479257e-06,0.0013466314921863091,0.0010953292916310356
373,50,32,0.01,32,64,sigmoid,sigmoid,1.8263474977593252e-06,0.0013514242478804815,0.0011229093370895885
1300,100,64,0.01,16,16,sigmoid,sigmoid,1.8312887791807494e-06,0.00135325118850151,0.0010937801816867244
1130,100,32,0.01,64,64,sigmoid,tanh,1.8326079393738333e-06,0.0013537385047984094,0.0010627645776189393
406,50,32,0.1,16,16,relu,sigmoid,1.8328483101532354e-06,0.0013538272822458688,0.0011586001863463538
1310,100,64,0.01,16,32,sigmoid,tanh,1.8338307123596745e-06,0.0013541900576948844,0.0010810055785782985
1018,100,32,0.001,32,64,relu,sigmoid,1.8357890354549499e-06,0.0013549129254143788,0.0010777199586499383
388,50,32,0.01,64,32,relu,sigmoid,1.8370573199773666e-06,0.0013553808763507645,0.0011392171151359386
1065,100,32,0.01,16,32,sigmoid,relu,1.8395383248738094e-06,0.0013562958102397167,0.0011208580188162964
343,50,32,0.01,16,64,relu,sigmoid,1.8403679719088445e-06,0.0013566016260895622,0.0011139274226574308
754,100,16,0.001,16,64,tanh,sigmoid,1.8466836859434406e-06,0.0013589274027494774,0.0010993808646388894
52,50,16,0.001,32,64,tanh,sigmoid,1.873959461222766e-06,0.0013689263899942779,0.0011040675790180373
781,100,16,0.001,32,64,tanh,sigmoid,1.879843470107491e-06,0.001371073838313419,0.0011003610957586994
350,50,32,0.01,16,64,tanh,tanh,1.8801237917076965e-06,0.0013711760615280945,0.0010656238793575732
1112,100,32,0.01,64,16,sigmoid,tanh,1.8817279403446874e-06,0.0013717608903685392,0.0010725393814094695
1340,100,64,0.01,32,32,tanh,tanh,1.8827088808313717e-06,0.0013721183916963477,0.0010797374521368482
772,100,16,0.001,32,32,tanh,sigmoid,1.892553971368514e-06,0.0013757012653074483,0.001149534537501662
745,100,16,0.001,16,32,tanh,sigmoid,1.9005963688945348e-06,0.0013786211839713384,0.0010602377192149147
1082,100,32,0.01,32,16,relu,tanh,1.9105705241031764e-06,0.0013822338890734725,0.0010963692464604467
