,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1083,100,32,0.01,32,16,sigmoid,relu,1.0016860364852021e-06,0.0010008426632019652,0.0008427711974937297
1299,100,64,0.01,16,16,sigmoid,relu,1.1203499884357264e-06,0.001058465865503336,0.000838851380304315
1321,100,64,0.01,16,64,tanh,sigmoid,1.3064724058041532e-06,0.0011430102387136143,0.0009419691321864564
1098,100,32,0.01,32,64,relu,relu,1.3093285727455764e-06,0.0011442589622745265,0.0009483097643937656
739,100,16,0.001,16,32,relu,sigmoid,1.365746733747514e-06,0.0011686516734029494,0.0009196857195844752
1306,100,64,0.01,16,32,relu,sigmoid,1.3661777639832562e-06,0.0011688360723314695,0.0009246779351914936
46,50,16,0.001,32,64,relu,sigmoid,1.4430572277821453e-06,0.0012012731695089777,0.0010005192779339914
34,50,16,0.001,32,16,tanh,sigmoid,1.4474218921049195e-06,0.0012030884805802604,0.0009893588934041483
72,50,16,0.001,64,64,relu,relu,1.4531366645964642e-06,0.0012054611833636386,0.0009678812030654329
1070,100,32,0.01,16,32,tanh,tanh,1.4632027955347276e-06,0.001209629197537298,0.000933552366760906
586,50,64,0.01,16,64,relu,sigmoid,1.4811868629754098e-06,0.0012170402059814662,0.0008687925403825043
5,50,16,0.001,16,16,sigmoid,tanh,1.4972478534618075e-06,0.0012236207964323783,0.0010249219148069596
94,50,16,0.01,16,32,sigmoid,sigmoid,1.4973878014978438e-06,0.0012236779811281412,0.0009813337122388424
112,50,16,0.01,32,16,sigmoid,sigmoid,1.4984050284824307e-06,0.0012240935538113216,0.000981435524612717
1309,100,64,0.01,16,32,sigmoid,sigmoid,1.5325195414901741e-06,0.0012379497330223769,0.0009943521755059917
1381,100,64,0.1,16,16,sigmoid,sigmoid,1.5509270987745747e-06,0.0012453622359677424,0.0010275843287814723
352,50,32,0.01,32,16,relu,sigmoid,1.5689441877220075e-06,0.0012525750227918517,0.0010007287305222698
1330,100,64,0.01,32,16,tanh,sigmoid,1.5755416411675734e-06,0.001255205816257865,0.000992156746392337
1322,100,64,0.01,16,64,tanh,tanh,1.5775080285910783e-06,0.0012559888648356235,0.0010257432090600583
35,50,16,0.001,32,16,tanh,tanh,1.578327518678168e-06,0.0012563150555008754,0.0010431213982304746
393,50,32,0.01,64,32,tanh,relu,1.5783437845492678e-06,0.0012563215291275032,0.0010760053963132607
1249,100,64,0.001,32,16,tanh,sigmoid,1.5965874454772334e-06,0.001263561413417343,0.0009849731986435848
804,100,16,0.001,64,64,sigmoid,relu,1.5967254543298504e-06,0.0012636160232957837,0.0010826464187323663
334,50,32,0.01,16,32,relu,sigmoid,1.6077910624948625e-06,0.0012679870119582702,0.0010152227330750057
1302,100,64,0.01,16,16,tanh,relu,1.6085122386343227e-06,0.0012682713584380603,0.0009957187458295026
277,50,32,0.001,32,16,tanh,sigmoid,1.614504494107271e-06,0.001270631533571897,0.001041208631037704
1326,100,64,0.01,32,16,sigmoid,relu,1.6257811260605303e-06,0.0012750612244361171,0.0010017906912775255
286,50,32,0.001,32,32,tanh,sigmoid,1.6280482230475472e-06,0.0012759499296788833,0.0009949401929587307
355,50,32,0.01,32,16,sigmoid,sigmoid,1.6288421135653735e-06,0.0012762609895963183,0.0010029959702868283
1015,100,32,0.001,32,32,tanh,sigmoid,1.6329742219724818e-06,0.001277878797841361,0.0010589722619243939
