date,release_date,cad_inflation
2014-09-30,2014-10-17,2
2014-10-31,2014-11-21,2.4
2014-11-30,2014-12-19,2
2014-12-31,2015-01-23,1.5
2015-01-31,2015-02-26,1
2015-02-28,2015-03-20,1
2015-03-31,2015-04-17,1.2
2015-04-30,2015-05-22,0.8
2015-05-31,2015-06-19,0.9
2015-06-30,2015-07-17,1
2015-07-31,2015-08-21,1.3
2015-08-31,2015-09-18,1.3
2015-09-30,2015-10-23,1
2015-10-31,2015-11-20,1
2015-11-30,2015-12-18,1.4
2015-12-31,2016-01-22,1.6
2016-01-31,2016-02-19,2
2016-02-29,2016-03-18,1.4
2016-03-31,2016-04-22,1.3
2016-04-30,2016-05-20,1.7
2016-05-31,2016-06-17,1.5
2016-06-30,2016-07-22,1.5
2016-07-31,2016-08-19,1.3
2016-08-31,2016-09-23,1.1
2016-09-30,2016-10-21,1.3
2016-10-31,2016-11-18,1.5
2016-11-30,2016-12-22,1.2
2016-12-31,2017-01-20,1.5
2017-01-31,2017-02-24,2.1
2017-02-28,2017-03-24,2
2017-03-31,2017-04-21,1.6
2017-04-30,2017-05-19,1.6
2017-05-31,2017-06-23,1.3
2017-06-30,2017-07-21,1
2017-07-31,2017-08-18,1.2
2017-08-31,2017-09-22,1.4
2017-09-30,2017-10-20,1.6
2017-10-31,2017-11-17,1.4
2017-11-30,2017-12-21,2.1
2017-12-31,2018-01-26,1.9
2018-01-31,2018-02-23,1.7
2018-02-28,2018-03-23,2.2
2018-03-31,2018-04-20,2.3
2018-04-30,2018-05-18,2.2
2018-05-31,2018-06-22,2.2
2018-06-30,2018-07-20,2.5
2018-07-31,2018-08-17,3
2018-08-31,2018-09-21,2.8
2018-09-30,2018-10-19,2.2
2018-10-31,2018-11-23,2.4
2018-11-30,2018-12-19,1.7
2018-12-31,2019-01-18,2
2019-01-31,2019-02-27,1.4
2019-02-28,2019-03-22,1.5
2019-03-31,2019-04-17,1.9
2019-04-30,2019-05-15,2
2019-05-31,2019-06-19,2.4
2019-06-30,2019-07-17,2
2019-07-31,2019-08-21,2
2019-08-31,2019-09-18,1.9
2019-09-30,2019-10-16,1.9
2019-10-31,2019-11-20,1.9
2019-11-30,2019-12-18,2.2
2019-12-31,2020-01-22,2.2
2020-01-31,2020-02-19,2.4
2020-02-29,2020-03-18,2.2
2020-03-31,2020-04-22,0.9
2020-04-30,2020-05-20,-0.2
2020-05-31,2020-06-17,-0.4
2020-06-30,2020-07-22,0.7
2020-07-31,2020-08-19,0.1
2020-08-31,2020-09-16,0.1
2020-09-30,2020-10-21,0.5
2020-10-31,2020-11-18,0.7
2020-11-30,2020-12-16,1
2020-12-31,2021-01-20,0.7
2021-01-31,2021-02-17,1
2021-02-28,2021-03-17,1.1
2021-03-31,2021-04-21,2.2
2021-04-30,2021-05-19,3.4
2021-05-31,2021-06-16,3.6
2021-06-30,2021-07-28,3.1
2021-07-31,2021-08-18,3.7
2021-08-31,2021-09-15,4.1
2021-09-30,2021-10-20,4.4
2021-10-31,2021-11-17,4.7
2021-11-30,2021-12-15,4.7
2021-12-31,2022-01-19,4.8
2022-01-31,2022-02-16,5.1
2022-02-28,2022-03-16,5.7
2022-03-31,2022-04-20,6.7
2022-04-30,2022-05-18,6.8
2022-05-31,2022-06-22,7.7
2022-06-30,2022-07-20,8.1
2022-07-31,2022-08-16,7.6
2022-08-31,2022-09-20,7
2022-09-30,2022-10-19,6.9
2022-10-31,2022-11-16,6.9
2022-11-30,2022-12-21,6.8
2022-12-31,2023-01-17,6.3
2023-01-31,2023-02-21,5.9
2023-02-28,2023-03-21,5.2
2023-03-31,2023-04-18,4.3
2023-04-30,2023-05-16,4.4
2023-05-31,2023-06-27,3.4
2023-06-30,2023-07-18,2.8
2023-07-31,2023-08-15,3.3
2023-08-31,2023-09-19,4
2023-09-30,2023-10-17,3.8
2023-10-31,2023-11-21,3.1
2023-11-30,2023-12-19,3.1
2023-12-31,2024-01-16,3.4
2024-01-31,2024-02-20,2.9
2024-02-29,2024-03-19,2.8
2024-03-31,2024-04-16,2.9
