date,release_date,eur_inflation
2014-09-30,2014-10-16,0.3
2014-10-31,2014-11-14,0.4
2014-11-30,2014-12-17,0.3
2014-12-31,2015-01-16,-0.2
2015-01-31,2015-02-24,-0.6
2015-02-28,2015-03-17,-0.3
2015-03-31,2015-04-17,-0.1
2015-04-30,2015-05-19,0.2
2015-05-31,2015-06-17,0.6
2015-06-30,2015-07-16,0.5
2015-07-31,2015-08-14,0.5
2015-08-31,2015-09-16,0.4
2015-09-30,2015-10-16,0.2
2015-10-31,2015-11-16,0.4
2015-11-30,2015-12-16,0.1
2015-12-31,2016-01-19,0.3
2016-01-31,2016-02-25,0.3
2016-02-29,2016-03-17,-0.1
2016-03-31,2016-04-14,0
2016-04-30,2016-05-18,-0.3
2016-05-31,2016-06-16,-0.1
2016-06-30,2016-07-15,0
2016-07-31,2016-08-18,0.2
2016-08-31,2016-09-15,0.2
2016-09-30,2016-10-17,0.4
2016-10-31,2016-11-17,0.5
2016-11-30,2016-12-16,0.6
2016-12-31,2017-01-18,1.1
2017-01-31,2017-02-22,1.7
2017-02-28,2017-03-16,2
2017-03-31,2017-04-19,1.5
2017-04-30,2017-05-17,1.9
2017-05-31,2017-06-16,1.4
2017-06-30,2017-07-17,1.3
2017-07-31,2017-08-17,1.3
2017-08-31,2017-09-18,1.5
2017-09-30,2017-10-17,1.6
2017-10-31,2017-11-16,1.4
2017-11-30,2017-12-18,1.5
2017-12-31,2018-01-17,1.3
2018-01-31,2018-02-23,1.3
2018-02-28,2018-03-16,1.1
2018-03-31,2018-04-18,1.4
2018-04-30,2018-05-16,1.2
2018-05-31,2018-06-15,2
2018-06-30,2018-07-18,2
2018-07-31,2018-08-17,2.2
2018-08-31,2018-09-17,2.1
2018-09-30,2018-10-17,2.1
2018-10-31,2018-11-16,2.3
2018-11-30,2018-12-17,1.9
2018-12-31,2019-01-17,1.5
2019-01-31,2019-02-22,1.4
2019-02-28,2019-03-15,1.5
2019-03-31,2019-04-17,1.4
2019-04-30,2019-05-17,1.7
2019-05-31,2019-06-18,1.2
2019-06-30,2019-07-17,1.3
2019-07-31,2019-08-19,1
2019-08-31,2019-09-18,1
2019-09-30,2019-10-16,0.8
2019-10-31,2019-11-15,0.7
2019-11-30,2019-12-18,1
2019-12-31,2020-01-17,1.3
2020-01-31,2020-02-21,1.4
2020-02-29,2020-03-18,1.2
2020-03-31,2020-04-17,0.7
2020-04-30,2020-05-20,0.3
2020-05-31,2020-06-17,0.1
2020-06-30,2020-07-17,0.3
2020-07-31,2020-08-19,0.4
2020-08-31,2020-09-17,-0.2
2020-09-30,2020-10-16,-0.3
2020-10-31,2020-11-18,-0.3
2020-11-30,2020-12-17,-0.3
2020-12-31,2021-01-20,-0.3
2021-01-31,2021-02-23,0.9
2021-02-28,2021-03-17,0.9
2021-03-31,2021-04-16,1.3
2021-04-30,2021-05-19,1.6
2021-05-31,2021-06-17,2
2021-06-30,2021-07-16,1.9
2021-07-31,2021-08-18,2.2
2021-08-31,2021-09-17,3
2021-09-30,2021-10-20,3.4
2021-10-31,2021-11-17,4.1
2021-11-30,2021-12-17,4.9
2021-12-31,2022-01-20,5
2022-01-31,2022-02-23,5.1
2022-02-28,2022-03-17,5.9
2022-03-31,2022-04-21,7.4
2022-04-30,2022-05-18,7.4
2022-05-31,2022-06-17,8.1
2022-06-30,2022-07-19,8.6
2022-07-31,2022-08-18,8.9
2022-08-31,2022-09-16,9.1
2022-09-30,2022-10-19,9.9
2022-10-31,2022-11-17,10.6
2022-11-30,2022-12-16,10.1
2022-12-31,2023-01-18,9.2
2023-01-31,2023-02-23,8.6
2023-02-28,2023-03-17,8.5
2023-03-31,2023-04-19,6.9
2023-04-30,2023-05-17,7
2023-05-31,2023-06-16,6.1
2023-06-30,2023-07-19,5.5
2023-07-31,2023-08-18,5.3
2023-08-31,2023-09-19,5.2
2023-09-30,2023-10-18,4.3
2023-10-31,2023-11-17,2.9
2023-11-30,2023-12-19,2.4
2023-12-31,2024-01-17,2.9
2024-01-31,2024-02-22,2.8
2024-02-29,2024-03-18,2.6
2024-03-31,2024-04-30,2.4
