,Close,^DJI,^GSPC,^GSPTSE,^IXIC,usd_interest,usd_inflation,cad_interest,cad_inflation
2019-01-02,0.7339233756065369,23346.240234375,2510.030029296875,14347.2001953125,6665.93994140625,2.4,1.82933,1.75,1.7
2019-01-03,0.7336111664772034,22686.220703125,2447.889892578125,14212.7998046875,6463.5,2.4,1.82933,1.75,1.7
2019-01-04,0.7419058084487915,23433.16015625,2531.93994140625,14426.599609375,6738.85986328125,2.4,1.82933,1.75,1.7
2019-01-07,0.7479823231697083,23531.349609375,2549.68994140625,14504.099609375,6823.47021484375,2.4,1.82933,1.75,1.7
2019-01-08,0.7521058917045593,23787.44921875,2574.409912109375,14605.2001953125,6897.0,2.4,1.82933,1.75,1.7
2019-01-09,0.7548878788948059,23879.119140625,2584.9599609375,14804.7001953125,6957.080078125,2.4,1.82933,1.75,1.7
2019-01-10,0.756916344165802,24001.919921875,2596.639892578125,14903.5,6986.06982421875,2.4,1.82933,1.75,1.7
2019-01-11,0.7553440928459167,23995.94921875,2596.260009765625,14939.2001953125,6971.47998046875,2.4,1.53051,1.75,1.7
2019-01-14,0.75372713804245,23909.83984375,2582.610107421875,14975.5,6905.919921875,2.4,1.53051,1.75,1.7
2019-01-15,0.7532332539558411,24065.58984375,2610.300048828125,15046.2998046875,7023.830078125,2.4,1.53051,1.75,1.7
2019-01-16,0.7541705369949341,24207.16015625,2616.10009765625,15111.2998046875,7034.68994140625,2.4,1.53051,1.75,1.7
2019-01-17,0.7542217373847961,24370.099609375,2635.9599609375,15211.2001953125,7084.4599609375,2.4,1.53051,1.75,1.7
2019-01-18,0.7530007362365723,24706.349609375,2670.7099609375,15303.7998046875,7157.22998046875,2.4,1.53051,1.75,2.0
2019-01-22,0.752162516117096,24404.48046875,2632.89990234375,15233.7998046875,7020.35986328125,2.4,1.53051,1.75,2.0
2019-01-23,0.7487271428108215,24575.619140625,2638.699951171875,15208.2998046875,7025.77001953125,2.4,1.53051,1.75,2.0
2019-01-24,0.7495633959770203,24553.240234375,2642.330078125,15280.7998046875,7073.4599609375,2.4,1.53051,1.75,2.0
2019-01-25,0.7490355968475342,24737.19921875,2664.760009765625,15366.099609375,7164.85986328125,2.4,1.53051,1.75,2.0
2019-01-28,0.7563723921775818,24528.220703125,2643.85009765625,15378.599609375,7085.68017578125,2.4,1.53051,1.75,2.0
2019-01-29,0.7541307210922241,24579.9609375,2640.0,15463.099609375,7028.2900390625,2.4,1.53051,1.75,2.0
2019-01-30,0.7535000443458557,25014.859375,2681.050048828125,15484.599609375,7183.080078125,2.4,1.53051,1.75,2.0
2019-01-31,0.7609770894050598,24999.669921875,2704.10009765625,15540.599609375,7281.740234375,2.4,1.53051,1.75,2.0
2019-02-01,0.761852502822876,25063.890625,2706.530029296875,15506.2998046875,7263.8701171875,2.4,1.53051,1.75,2.0
2019-02-04,0.7634170055389404,25239.369140625,2724.8701171875,15602.2998046875,7347.5400390625,2.4,1.53051,1.75,2.0
2019-02-05,0.7623984813690186,25411.51953125,2737.699951171875,15702.7001953125,7402.080078125,2.4,1.53051,1.75,2.0
2019-02-06,0.7619628310203552,25390.30078125,2731.610107421875,15712.2998046875,7375.27978515625,2.4,1.53051,1.75,2.0
2019-02-07,0.7568303942680359,25169.529296875,2706.050048828125,15703.400390625,7288.35009765625,2.4,1.53051,1.75,2.0
2019-02-08,0.7512640357017517,25106.330078125,2707.8798828125,15633.2998046875,7298.2001953125,2.4,1.53051,1.75,2.0
2019-02-11,0.7533524632453918,25053.109375,2709.800048828125,15568.900390625,7307.89990234375,2.4,1.53051,1.75,2.0
2019-02-12,0.7518796920776367,25425.759765625,2744.72998046875,15642.099609375,7414.6201171875,2.4,1.53051,1.75,2.0
2019-02-13,0.7559378743171692,25543.26953125,2753.030029296875,15626.7001953125,7420.3798828125,2.4,1.07527,1.75,2.0
2019-02-14,0.7541990280151367,25439.390625,2745.72998046875,15696.0,7426.9501953125,2.4,1.07527,1.75,2.0
2019-02-15,0.7520493268966675,25883.25,2775.60009765625,15838.2001953125,7472.41015625,2.4,1.07527,1.75,2.0
2019-02-19,0.7556294202804565,25891.3203125,2779.760009765625,15937.400390625,7486.77001953125,2.4,1.07527,1.75,2.0
2019-02-20,0.7570653557777405,25954.439453125,2784.699951171875,16031.2001953125,7489.06982421875,2.4,1.07527,1.75,2.0
2019-02-21,0.7593014240264893,25850.630859375,2774.8798828125,16000.900390625,7459.7099609375,2.4,1.07527,1.75,2.0
2019-02-22,0.7561208009719849,26031.810546875,2792.669921875,16013.0,7527.5400390625,2.4,1.07527,1.75,2.0
2019-02-25,0.7615566253662109,26091.94921875,2796.110107421875,16057.0,7554.4599609375,2.4,1.07527,1.75,2.0
2019-02-26,0.7584261298179626,26057.98046875,2793.89990234375,16067.900390625,7549.2998046875,2.4,1.07527,1.75,2.0
2019-02-27,0.7597629427909851,25985.16015625,2792.3798828125,16074.2998046875,7554.509765625,2.4,1.07527,1.75,1.4
2019-02-28,0.7607455253601074,25916.0,2784.489990234375,15999.0,7532.52978515625,2.4,1.07527,1.75,1.4
2019-03-01,0.7596302032470703,26026.3203125,2803.68994140625,16068.2998046875,7595.35009765625,2.4,1.07527,1.75,1.4
2019-03-04,0.7528079748153687,25819.650390625,2792.81005859375,16038.099609375,7577.56982421875,2.4,1.07527,1.75,1.4
2019-03-05,0.7512075901031494,25806.630859375,2789.64990234375,16086.5,7576.35986328125,2.4,1.07527,1.75,1.4
2019-03-06,0.748878538608551,25673.4609375,2771.449951171875,16092.099609375,7505.919921875,2.4,1.07527,1.75,1.4
2019-03-07,0.7438815832138062,25473.23046875,2748.929931640625,16056.5,7421.4599609375,2.4,1.07527,1.75,1.4
2019-03-08,0.7437875270843506,25450.240234375,2743.070068359375,15996.2001953125,7408.14013671875,2.4,1.07527,1.75,1.4
2019-03-11,0.7452675700187683,25650.880859375,2783.300048828125,16106.2001953125,7558.06005859375,2.4,1.07527,1.75,1.4
2019-03-12,0.7465695142745972,25554.66015625,2791.52001953125,16136.7001953125,7591.02978515625,2.4,1.00202,1.75,1.4
2019-03-13,0.7486711144447327,25702.890625,2810.919921875,16150.0,7643.41015625,2.4,1.00202,1.75,1.4
2019-03-14,0.752162516117096,25709.939453125,2808.47998046875,16087.599609375,7630.91015625,2.4,1.00202,1.75,1.4
2019-03-15,0.750485897064209,25848.869140625,2822.47998046875,16140.400390625,7688.52978515625,2.4,1.00202,1.75,1.4
2019-03-18,0.7495689988136292,25914.099609375,2832.93994140625,16251.400390625,7714.47998046875,2.4,1.00202,1.75,1.4
2019-03-19,0.7497938275337219,25887.380859375,2832.570068359375,16188.099609375,7723.9501953125,2.4,1.00202,1.75,1.4
2019-03-20,0.7506380081176758,25745.669921875,2824.22998046875,16167.599609375,7728.97021484375,2.41,1.00202,1.75,1.4
2019-03-21,0.7526719570159912,25962.509765625,2854.8798828125,16244.599609375,7838.9599609375,2.41,1.00202,1.75,1.4
2019-03-22,0.7482229471206665,25502.3203125,2800.7099609375,16089.2998046875,7642.669921875,2.41,1.00202,1.75,1.5
2019-03-25,0.7448789477348328,25516.830078125,2798.360107421875,16065.900390625,7637.5400390625,2.4,1.00202,1.75,1.5
2019-03-26,0.7467144727706909,25657.73046875,2818.4599609375,16155.2001953125,7691.52001953125,2.4,1.00202,1.75,1.5
2019-03-27,0.7474343776702881,25625.58984375,2805.3701171875,16132.5,7643.3798828125,2.41,1.00202,1.75,1.5
2019-03-28,0.745617687702179,25717.4609375,2815.43994140625,16155.5,7669.169921875,2.41,1.00202,1.75,1.5
2019-03-29,0.7445738911628723,25928.6796875,2834.39990234375,16102.099609375,7729.31982421875,2.43,1.00202,1.75,1.5
2019-04-01,0.7492320537567139,26258.419921875,2867.18994140625,16228.099609375,7828.91015625,2.41,1.00202,1.75,1.5
2019-04-02,0.751258373260498,26179.130859375,2867.239990234375,16263.900390625,7848.68994140625,2.41,1.00202,1.75,1.5
2019-04-03,0.7494566440582275,26218.130859375,2873.39990234375,16279.900390625,7895.5498046875,2.41,1.00202,1.75,1.5
2019-04-04,0.749512791633606,26384.630859375,2879.389892578125,16311.599609375,7891.77978515625,2.41,1.00202,1.75,1.5
2019-04-05,0.7482397556304932,26424.990234375,2892.739990234375,16396.19921875,7938.68994140625,2.41,1.00202,1.75,1.5
2019-04-08,0.7478871941566467,26341.01953125,2895.77001953125,16407.30078125,7953.8798828125,2.41,1.00202,1.75,1.5
2019-04-09,0.751111626625061,26150.580078125,2878.199951171875,16336.5,7909.27978515625,2.41,1.00202,1.75,1.5
2019-04-10,0.7503113746643066,26157.16015625,2888.2099609375,16396.30078125,7964.240234375,2.41,1.44217,1.75,1.5
2019-04-11,0.7508748173713684,26143.05078125,2888.320068359375,16399.5,7947.35986328125,2.41,1.44217,1.75,1.5
2019-04-12,0.7475014925003052,26412.30078125,2907.409912109375,16480.5,7984.16015625,2.41,1.44217,1.75,1.5
2019-04-15,0.7500468492507935,26384.76953125,2905.580078125,16515.5,7976.009765625,2.41,1.44217,1.75,1.5
2019-04-16,0.7480550408363342,26452.66015625,2907.06005859375,16502.19921875,8000.22998046875,2.41,1.44217,1.75,1.5
2019-04-17,0.7485422492027283,26449.5390625,2900.449951171875,16544.19921875,7996.080078125,2.42,1.44217,1.75,1.9
2019-04-18,0.7491759061813354,26559.5390625,2905.030029296875,16612.80078125,7998.06005859375,2.43,1.44217,1.75,1.9
2019-04-22,0.7473339438438416,26511.05078125,2907.969970703125,16577.30078125,8015.27001953125,2.44,1.44217,1.75,1.9
2019-04-23,0.7493274807929993,26656.390625,2933.679931640625,16669.400390625,8120.81982421875,2.44,1.44217,1.75,1.9
2019-04-24,0.7447291612625122,26597.05078125,2927.25,16586.5,8102.009765625,2.44,1.44217,1.75,1.9
2019-04-25,0.7411249876022339,26462.080078125,2926.169921875,16576.099609375,8118.68017578125,2.44,1.44217,1.75,1.9
2019-04-26,0.7419498562812805,26543.330078125,2939.8798828125,16613.5,8146.39990234375,2.44,1.44217,1.75,1.9
2019-04-29,0.7429420948028564,26554.390625,2943.030029296875,16600.400390625,8161.85009765625,2.45,1.44217,1.75,1.9
2019-04-30,0.7432347536087036,26592.91015625,2945.830078125,16580.69921875,8095.39013671875,2.45,1.44217,1.75,1.9
2019-05-01,0.7469431161880493,26430.140625,2923.72998046875,16502.80078125,8049.64013671875,2.45,1.44217,1.75,1.9
2019-05-02,0.7441085577011108,26307.7890625,2917.52001953125,16410.900390625,8036.77001953125,2.41,1.44217,1.75,1.9
2019-05-03,0.742434561252594,26504.94921875,2945.639892578125,16494.400390625,8164.0,2.4,1.44217,1.75,1.9
2019-05-06,0.7422692775726318,26438.48046875,2932.469970703125,16493.5,8123.2900390625,2.4,1.44217,1.75,1.9
2019-05-07,0.7435552477836609,25965.08984375,2884.050048828125,16357.7998046875,7963.759765625,2.4,1.44217,1.75,1.9
2019-05-08,0.7424456477165222,25967.330078125,2879.419921875,16397.400390625,7943.31982421875,2.39,1.44217,1.75,1.9
2019-05-09,0.7422637939453125,25828.359375,2870.719970703125,16321.7998046875,7910.58984375,2.38,1.44217,1.75,1.9
2019-05-10,0.7426496744155884,25942.369140625,2881.39990234375,16297.599609375,7916.93994140625,2.38,1.59855,1.75,1.9
2019-05-13,0.7440808415412903,25324.990234375,2811.8701171875,16193.400390625,7647.02001953125,2.38,1.59855,1.75,1.9
2019-05-14,0.7420599460601807,25532.05078125,2834.409912109375,16284.5,7734.490234375,2.38,1.59855,1.75,1.9
2019-05-15,0.7429420948028564,25648.01953125,2850.9599609375,16318.099609375,7822.14990234375,2.4,1.59855,1.75,2.0
2019-05-16,0.7439590692520142,25862.6796875,2876.320068359375,16443.900390625,7898.0498046875,2.39,1.59855,1.75,2.0
2019-05-17,0.7428317070007324,25764.0,2859.530029296875,16401.80078125,7816.27978515625,2.39,1.59855,1.75,2.0
2019-05-21,0.7447568774223328,25877.330078125,2864.360107421875,16426.5,7785.72021484375,2.39,1.59855,1.75,2.0
2019-05-23,0.7442414164543152,25490.470703125,2822.239990234375,16164.599609375,7628.27978515625,2.38,1.59855,1.75,2.0
2019-05-24,0.7421921491622925,25585.689453125,2826.06005859375,16230.0,7637.009765625,2.38,1.59855,1.75,2.0
2019-05-28,0.7441583871841431,25347.76953125,2802.389892578125,16297.5,7607.35009765625,2.39,1.59855,1.75,2.0
2019-05-29,0.7414272427558899,25126.41015625,2783.02001953125,16131.5,7547.31005859375,2.39,1.59855,1.75,2.0
2019-05-30,0.7400829195976257,25169.880859375,2788.860107421875,16089.2001953125,7567.72021484375,2.39,1.59855,1.75,2.0
2019-05-31,0.7393770217895508,24815.0390625,2752.06005859375,16037.5,7453.14990234375,2.4,1.59855,1.75,2.0
2019-06-03,0.7396340370178223,24819.779296875,2744.449951171875,16015.900390625,7333.02001953125,2.38,1.59855,1.75,2.0
2019-06-04,0.7439646124839783,25332.1796875,2803.27001953125,16166.2001953125,7527.1201171875,2.38,1.59855,1.75,2.0
2019-06-05,0.7468036413192749,25539.5703125,2826.14990234375,16212.7001953125,7575.47998046875,2.38,1.59855,1.75,2.0
2019-06-06,0.745156466960907,25720.66015625,2843.489990234375,16227.7998046875,7615.5498046875,2.37,1.59855,1.75,2.0
2019-06-07,0.7488393187522888,25983.939453125,2873.340087890625,16231.0,7742.10009765625,2.37,1.59855,1.75,2.0
2019-06-10,0.7536419630050659,26062.6796875,2886.72998046875,16216.2998046875,7823.169921875,2.37,1.59855,1.75,2.0
2019-06-11,0.7538521885871887,26048.509765625,2885.719970703125,16248.7998046875,7822.56982421875,2.37,1.59855,1.75,2.0
2019-06-12,0.7530007362365723,26004.830078125,2879.840087890625,16227.2001953125,7792.72021484375,2.37,1.33384,1.75,2.0
2019-06-13,0.7500187754631042,26106.76953125,2891.639892578125,16239.2998046875,7837.1298828125,2.37,1.33384,1.75,2.0
2019-06-14,0.7503395080566406,26089.609375,2886.97998046875,16301.900390625,7796.66015625,2.36,1.33384,1.75,2.0
2019-06-17,0.7457677721977234,26112.529296875,2889.669921875,16353.5,7845.02001953125,2.38,1.33384,1.75,2.0
2019-06-18,0.745712161064148,26465.5390625,2917.75,16503.400390625,7953.8798828125,2.37,1.33384,1.75,2.0
2019-06-19,0.7477194666862488,26504.0,2926.4599609375,16511.80078125,7987.31982421875,2.37,1.33384,1.75,2.4
2019-06-20,0.7535965442657471,26753.169921875,2954.179931640625,16574.80078125,8051.33984375,2.37,1.33384,1.75,2.4
2019-06-21,0.7585468888282776,26719.130859375,2950.4599609375,16525.400390625,8031.7099609375,2.38,1.33384,1.75,2.4
2019-06-24,0.7575528025627136,26727.5390625,2945.35009765625,16523.5,8005.7001953125,2.38,1.33384,1.75,2.4
2019-06-25,0.7586677670478821,26548.220703125,2917.3798828125,16371.2998046875,7884.72021484375,2.38,1.33384,1.75,2.4
2019-06-26,0.7588174939155579,26536.8203125,2913.780029296875,16312.2001953125,7909.97021484375,2.38,1.33384,1.75,2.4
2019-06-27,0.7621369957923889,26526.580078125,2924.919921875,16307.7001953125,7967.759765625,2.38,1.33384,1.75,2.4
2019-06-28,0.7636910676956177,26599.9609375,2941.760009765625,16382.2001953125,8006.240234375,2.4,1.33384,1.75,2.4
2019-07-02,0.7614986300468445,26786.6796875,2973.010009765625,16471.30078125,8109.08984375,2.4,1.33384,1.75,2.4
2019-07-03,0.7635919451713562,26966.0,2995.820068359375,16576.19921875,8170.22998046875,2.41,1.33384,1.75,2.4
2019-07-05,0.7663775086402893,26922.119140625,2990.409912109375,16542.0,8161.7900390625,2.42,1.33384,1.75,2.4
2019-07-08,0.7647832632064819,26806.140625,2975.949951171875,16463.0,8098.3798828125,2.41,1.33384,1.75,2.4
2019-07-09,0.7632364630699158,26783.490234375,2979.6298828125,16545.19921875,8141.72998046875,2.41,1.33384,1.75,2.4
2019-07-10,0.761904776096344,26860.19921875,2993.070068359375,16563.30078125,8202.5302734375,2.41,1.33384,1.75,2.4
2019-07-11,0.7649353742599487,27088.080078125,2999.909912109375,16527.900390625,8196.0400390625,2.4,1.14188,1.75,2.4
2019-07-12,0.7652572989463806,27332.029296875,3013.77001953125,16488.099609375,8244.1396484375,2.38,1.14188,1.75,2.4
2019-07-15,0.767283022403717,27359.16015625,3014.300048828125,16510.80078125,8258.1904296875,2.4,1.14188,1.75,2.4
2019-07-16,0.7664303779602051,27335.630859375,3004.0400390625,16502.400390625,8222.7998046875,2.41,1.14188,1.75,2.4
2019-07-17,0.7641462683677673,27219.849609375,2984.419921875,16484.19921875,8185.2099609375,2.41,1.14188,1.75,2.0
2019-07-18,0.7661073803901672,27222.970703125,2995.110107421875,16494.19921875,8207.240234375,2.41,1.14188,1.75,2.0
2019-07-19,0.7671300172805786,27154.19921875,2976.610107421875,16485.900390625,8146.490234375,2.41,1.14188,1.75,2.0
2019-07-22,0.766166090965271,27171.900390625,2985.030029296875,16518.900390625,8204.1396484375,2.4,1.14188,1.75,2.0
2019-07-23,0.7618467211723328,27349.189453125,3005.469970703125,16572.69921875,8251.400390625,2.4,1.14188,1.75,2.0
2019-07-24,0.7610871195793152,27269.970703125,3019.56005859375,16611.80078125,8321.5,2.4,1.14188,1.75,2.0
2019-07-25,0.7608728408813477,27140.98046875,3003.669921875,16488.19921875,8238.5400390625,2.4,1.14188,1.75,2.0
2019-07-26,0.7599939703941345,27192.44921875,3025.860107421875,16531.0,8330.2099609375,2.4,1.14188,1.75,2.0
2019-07-29,0.7593591213226318,27221.349609375,3020.969970703125,16492.19921875,8293.330078125,2.4,1.14188,1.75,2.0
2019-07-30,0.7596763968467712,27198.01953125,3013.179931640625,16466.099609375,8273.6103515625,2.39,1.14188,1.75,2.0
2019-07-31,0.7605950832366943,26864.26953125,2980.3798828125,16406.599609375,8175.419921875,2.4,1.14188,1.75,2.0
2019-08-01,0.7579776644706726,26583.419921875,2953.56005859375,16377.0,8111.1201171875,2.14,1.14188,1.75,2.0
2019-08-02,0.7567788362503052,26485.009765625,2932.050048828125,16271.7001953125,8004.06982421875,2.14,1.14188,1.75,2.0
2019-08-06,0.7567674517631531,26029.51953125,2881.77001953125,16149.5,7833.27001953125,2.13,1.14188,1.75,2.0
2019-08-07,0.7529950141906738,26007.0703125,2883.97998046875,16265.2001953125,7862.830078125,2.12,1.14188,1.75,2.0
2019-08-08,0.7512301206588745,26378.189453125,2938.090087890625,16404.5,8039.16015625,2.12,1.14188,1.75,2.0
