,Close,^DJI,^GSPC,^IXIC,^SSMI,usd_interest,usd_inflation,chf_interest,chf_inflation
2019-01-03,1.0114291906356812,22686.220703125,2447.889892578125,6463.5,8466.009765625,2.4,1.82933,-0.75,1.0
2019-01-04,1.0130685567855835,23433.16015625,2531.93994140625,6738.85986328125,8608.5595703125,2.4,1.82933,-0.75,1.0
2019-01-07,1.0144457817077637,23531.349609375,2549.68994140625,6823.47021484375,8535.9501953125,2.4,1.82933,-0.75,1.0
2019-01-08,1.021346092224121,23787.44921875,2574.409912109375,6897.0,8629.48046875,2.4,1.82933,-0.75,1.0
2019-01-09,1.0196070671081543,23879.119140625,2584.9599609375,6957.080078125,8687.7099609375,2.4,1.82933,-0.75,0.8
2019-01-10,1.0267467498779297,24001.919921875,2596.639892578125,6986.06982421875,8801.48046875,2.4,1.82933,-0.75,0.8
2019-01-11,1.0162498950958252,23995.94921875,2596.260009765625,6971.47998046875,8828.2197265625,2.4,1.53051,-0.75,0.8
2019-01-14,1.0165700912475586,23909.83984375,2582.610107421875,6905.919921875,8760.3203125,2.4,1.53051,-0.75,0.8
2019-01-15,1.0193471908569336,24065.58984375,2610.300048828125,7023.830078125,8824.73046875,2.4,1.53051,-0.75,0.8
2019-01-16,1.0126889944076538,24207.16015625,2616.10009765625,7034.68994140625,8873.76953125,2.4,1.53051,-0.75,0.8
2019-01-17,1.0100908279418943,24370.099609375,2635.9599609375,7084.4599609375,8914.1396484375,2.4,1.53051,-0.75,0.8
2019-01-18,1.0063399076461792,24706.349609375,2670.7099609375,7157.22998046875,9023.9599609375,2.4,1.53051,-0.75,0.8
2019-01-22,1.0027072429656982,24404.48046875,2632.89990234375,7020.35986328125,8966.33984375,2.4,1.53051,-0.75,0.8
2019-01-23,1.0030090808868408,24575.619140625,2638.699951171875,7025.77001953125,8957.1904296875,2.4,1.53051,-0.75,0.8
2019-01-24,1.0054596662521362,24553.240234375,2642.330078125,7073.4599609375,8937.3896484375,2.4,1.53051,-0.75,0.8
2019-01-25,1.004419445991516,24737.19921875,2664.760009765625,7164.85986328125,8922.490234375,2.4,1.53051,-0.75,0.8
2019-01-28,1.0076582431793213,24528.220703125,2643.85009765625,7085.68017578125,8857.849609375,2.4,1.53051,-0.75,0.8
2019-01-29,1.008471131324768,24579.9609375,2640.0,7028.2900390625,8940.51953125,2.4,1.53051,-0.75,0.8
2019-01-30,1.0055304765701294,25014.859375,2681.050048828125,7183.080078125,8965.7099609375,2.4,1.53051,-0.75,0.8
2019-01-31,1.0065425634384155,24999.669921875,2704.10009765625,7281.740234375,8969.26953125,2.4,1.53051,-0.75,0.8
2019-02-01,1.0063399076461792,25063.890625,2706.530029296875,7263.8701171875,8996.3603515625,2.4,1.53051,-0.75,0.7
2019-02-04,1.004550576210022,25239.369140625,2724.8701171875,7347.5400390625,9011.48046875,2.4,1.53051,-0.75,0.7
