,Close,^DJI,^FTSE,^GSPC,^IXIC,usd_interest,usd_inflation,gbp_interest,gbp_inflation
2019-01-02,1.2754288911819458,23346.240234375,6734.2001953125,2510.030029296875,6665.93994140625,2.4,1.82933,0.75,2.2
2019-01-03,1.2521913051605225,22686.220703125,6692.7001953125,2447.889892578125,6463.5,2.4,1.82933,0.75,2.2
2019-01-04,1.2628813982009888,23433.16015625,6837.39990234375,2531.93994140625,6738.85986328125,2.4,1.82933,0.75,2.2
2019-01-07,1.2734960317611694,23531.349609375,6810.89990234375,2549.68994140625,6823.47021484375,2.4,1.82933,0.75,2.2
2019-01-08,1.278608798980713,23787.44921875,6861.60009765625,2574.409912109375,6897.0,2.4,1.82933,0.75,2.2
2019-01-09,1.2737879753112793,23879.119140625,6906.60009765625,2584.9599609375,6957.080078125,2.4,1.82933,0.75,2.2
2019-01-10,1.279967188835144,24001.919921875,6942.89990234375,2596.639892578125,6986.06982421875,2.4,1.82933,0.75,2.2
2019-01-11,1.2753963470458984,23995.94921875,6918.2001953125,2596.260009765625,6971.47998046875,2.4,1.53051,0.75,2.2
2019-01-14,1.2849836349487305,23909.83984375,6855.0,2582.610107421875,6905.919921875,2.4,1.53051,0.75,2.2
2019-01-15,1.2874983549118042,24065.58984375,6895.0,2610.300048828125,7023.830078125,2.4,1.53051,0.75,2.2
2019-01-16,1.2872166633605957,24207.16015625,6862.7001953125,2616.10009765625,7034.68994140625,2.4,1.53051,0.75,2.0
2019-01-17,1.28857684135437,24370.099609375,6834.89990234375,2635.9599609375,7084.4599609375,2.4,1.53051,0.75,2.0
2019-01-18,1.2983977794647217,24706.349609375,6968.2998046875,2670.7099609375,7157.22998046875,2.4,1.53051,0.75,2.0
2019-01-22,1.2891747951507568,24404.48046875,6901.39990234375,2632.89990234375,7020.35986328125,2.4,1.53051,0.75,2.0
2019-01-23,1.295773148536682,24575.619140625,6842.89990234375,2638.699951171875,7025.77001953125,2.4,1.53051,0.75,2.0
2019-01-24,1.308215618133545,24553.240234375,6819.0,2642.330078125,7073.4599609375,2.4,1.53051,0.75,2.0
2019-01-25,1.3121638298034668,24737.19921875,6809.2001953125,2664.760009765625,7164.85986328125,2.4,1.53051,0.75,2.0
2019-01-28,1.3208470344543457,24528.220703125,6747.10009765625,2643.85009765625,7085.68017578125,2.4,1.53051,0.75,2.0
2019-01-29,1.3160146474838257,24579.9609375,6833.89990234375,2640.0,7028.2900390625,2.4,1.53051,0.75,2.0
2019-01-30,1.30804443359375,25014.859375,6941.60009765625,2681.050048828125,7183.080078125,2.4,1.53051,0.75,2.0
2019-01-31,1.3117163181304932,24999.669921875,6968.89990234375,2704.10009765625,7281.740234375,2.4,1.53051,0.75,2.0
2019-02-01,1.3109424114227295,25063.890625,7020.2001953125,2706.530029296875,7263.8701171875,2.4,1.53051,0.75,2.0
2019-02-04,1.3077365159988403,25239.369140625,7034.10009765625,2724.8701171875,7347.5400390625,2.4,1.53051,0.75,2.0
2019-02-05,1.3031013011932373,25411.51953125,7177.39990234375,2737.699951171875,7402.080078125,2.4,1.53051,0.75,2.0
2019-02-06,1.2957228422164917,25390.30078125,7173.10009765625,2731.610107421875,7375.27978515625,2.4,1.53051,0.75,2.0
2019-02-07,1.2934435606002808,25169.529296875,7093.60009765625,2706.050048828125,7288.35009765625,2.4,1.53051,0.75,2.0
2019-02-08,1.2949174642562866,25106.330078125,7071.2001953125,2707.8798828125,7298.2001953125,2.4,1.53051,0.75,2.0
2019-02-11,1.293677806854248,25053.109375,7129.10009765625,2709.800048828125,7307.89990234375,2.4,1.53051,0.75,2.0
